fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern,ftypeN
NF,,,,,51.621244,-115.608378,2202.0,,,,,,105.0,,,,,20,,101
NF,,,,,51.621244,-115.608378,2189.0,,,,,,126.0,,,,,20,,101
C1,,,,,51.621244,-115.608378,2171.0,,,,,,114.0,,,0.75,,20,,1
C1,,,,,51.621244,-115.608378,2149.0,,,,,,109.0,,,0.75,,20,,1
C2,,,,,51.621244,-115.608378,2127.0,,,,,,103.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2107.0,,,,,,95.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2086.0,,,,,,136.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2094.0,,,,,,206.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2113.0,,,,,,204.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2111.0,,,,,,56.0,,,0.8,,20,,2
C2,,,,,51.621244,-115.608378,2098.0,,,,,,17.0,,,0.8,,20,,2
O1a,,,,,51.621244,-115.608378,2395.0,,,,,,185.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2399.0,,,,,,189.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2404.0,,,,,,172.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2403.0,,,,,,68.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2397.0,,,,,,33.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2383.0,,,,,,24.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2367.0,,,,,,13.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2363.0,,,,,,347.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2372.0,,,,,,305.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2380.0,,,,,,264.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2387.0,,,,,,219.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2386.0,,,,,,141.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2379.0,,,,,,101.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2369.0,,,,,,77.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2351.0,,,,,,64.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2324.0,,,,,,50.0,,,0.35,60.0,20,,31
O1a,,,,,51.621244,-115.608378,2287.0,,,,,,33.0,,,0.35,60.0,20,,31
NF,,,,,51.621244,-115.608378,2258.0,,,,,,14.0,,,,,20,,101
