Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-07-2014 0:00,0,8.9,96,2.6,211,92.76,54.27,262.07,2.5,71.52,9.3
JCB,09-07-2014 1:00,0,9.5,96,3.1,295,92.76,54.27,262.07,2.24,71.52,8.46
JCB,09-07-2014 2:00,0,8.9,93,3.7,187,92.76,54.27,262.07,2.1,71.52,8.01
JCB,09-07-2014 3:00,0,9.7,87,12.1,259,92.76,54.27,262.07,3.04,71.52,10.95
JCB,09-07-2014 4:00,0,8.9,85,15.4,268,92.76,54.27,262.07,3.45,71.52,12.13
JCB,09-07-2014 5:00,0,7.3,87,8.5,235,92.76,54.27,262.07,2.34,71.52,8.78
JCB,09-07-2014 6:00,0,9.4,77,10,228,92.76,54.27,262.07,2.53,71.52,9.39
JCB,09-07-2014 7:00,0,12.9,64,11,235,92.76,54.27,262.07,2.71,71.52,9.97
JCB,09-07-2014 8:00,0,17.8,48,13.7,260,92.76,54.27,262.07,3.37,71.52,11.92
JCB,09-07-2014 9:00,0,22.3,36,7.8,255,92.76,54.27,262.07,2.88,71.52,10.48
JCB,09-07-2014 10:00,0,24.8,34,11.4,293,92.76,54.27,262.07,4.07,71.52,13.82
JCB,09-07-2014 11:00,0,24.2,29,15.3,299,92.76,54.27,262.07,5.87,71.52,18.24
JCB,09-07-2014 12:00,0,24.4,28,16.8,297,92.76,54.27,262.07,7.37,71.52,21.52
JCB,09-07-2014 13:00,0,26.2,27,20.9,300,92.76,58.95,270.49,10.56,76.32,28.61
JCB,09-07-2014 14:00,0,26.8,25,17.8,270,92.76,58.95,270.49,10.37,76.32,28.24
JCB,09-07-2014 15:00,0,24.8,28,18.1,291,92.76,58.95,270.49,11.34,76.32,30.02
JCB,09-07-2014 16:00,0,26.6,23,22.9,294,92.76,58.95,270.49,16.13,76.32,37.93
JCB,09-07-2014 17:00,0,25.6,22,20.9,290,92.76,58.95,270.49,15.86,76.32,37.52
JCB,09-07-2014 18:00,0,24.5,19,18.2,297,92.76,58.95,270.49,14.97,76.32,36.12
JCB,09-07-2014 19:00,0,24.4,22,22.6,293,92.76,58.95,270.49,19.51,76.32,42.88
JCB,09-07-2014 20:00,0,20.8,42,8.6,283,92.76,58.95,270.49,9.33,76.32,26.28
JCB,09-07-2014 21:00,0,16.1,60,11,75,92.76,58.95,270.49,9.51,76.32,26.62
JCB,09-07-2014 22:00,0,13.4,73,8.6,106,92.76,58.95,270.49,7.38,76.32,22.28
JCB,09-07-2014 23:00,0,9.4,88,1.7,303,92.76,58.95,270.49,4.47,76.32,15.42
