Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,13-07-2014 0:00,0,8.1,94,1.7,261,93.59,69.3,293.73,3.16,87.18,12.71
JCB,13-07-2014 1:00,0,7.7,92,2.5,252,93.59,69.3,293.73,2.89,87.18,11.85
JCB,13-07-2014 2:00,0,11,78,6.7,313,93.59,69.3,293.73,3.38,87.18,13.41
JCB,13-07-2014 3:00,0,11.1,78,16.2,300,93.59,69.3,293.73,5.15,87.18,18.45
JCB,13-07-2014 4:00,0,10.9,77,15.9,296,93.59,69.3,293.73,4.85,87.18,17.64
JCB,13-07-2014 5:00,0,10.1,78,12,321,93.59,69.3,293.73,3.82,87.18,14.73
JCB,13-07-2014 6:00,0,11,72,19,286,93.59,69.3,293.73,5.34,87.18,18.95
JCB,13-07-2014 7:00,0,11.8,68,14.1,292,93.59,69.3,293.73,4.18,87.18,15.78
JCB,13-07-2014 8:00,0,15.5,56,16.2,281,93.59,69.3,293.73,4.73,87.18,17.34
JCB,13-07-2014 9:00,0,19.3,48,15.3,280,93.59,69.3,293.73,4.79,87.18,17.5
JCB,13-07-2014 10:00,0,23.3,40,10.7,269,93.59,69.3,293.73,4.21,87.18,15.87
JCB,13-07-2014 11:00,0,27.2,29,7.2,107,93.59,69.3,293.73,4.17,87.18,15.75
JCB,13-07-2014 12:00,0,26.9,31,12.5,40,93.59,69.3,293.73,6.24,87.18,21.22
JCB,13-07-2014 13:00,0,27.5,24,12.4,45,93.59,74.4,302.39,7.3,92.13,24.4
JCB,13-07-2014 14:00,0,26.5,28,8.8,21,93.59,74.4,302.39,6.67,92.13,22.9
JCB,13-07-2014 15:00,0,27.4,34,15.6,105,93.59,74.4,302.39,9.9,92.13,30.08
JCB,13-07-2014 16:00,0,27.1,34,17.6,84,93.59,74.4,302.39,11.4,92.13,33.06
JCB,13-07-2014 17:00,0,26.2,37,17.7,86,93.59,74.4,302.39,11.57,92.13,33.39
JCB,13-07-2014 18:00,0,25.1,39,17.9,88,93.59,74.4,302.39,11.77,92.13,33.78
JCB,13-07-2014 19:00,0,23.9,43,13.5,83,93.59,74.4,302.39,9.5,92.13,29.25
JCB,13-07-2014 20:00,0,21.7,50,13.4,82,93.59,74.4,302.39,9.19,92.13,28.6
JCB,13-07-2014 21:00,0,18.8,61,6.3,80,93.59,74.4,302.39,6.03,92.13,21.31
JCB,13-07-2014 22:00,0,14,83,4.6,289,93.59,74.4,302.39,4.79,92.13,18.04
JCB,13-07-2014 23:00,0,12.4,91,3.5,283,93.59,74.4,302.39,3.82,92.13,15.21
