Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,03-07-2014 0:00,0,11.7,94,2.5,52,92.48,32.1,215.65,2.39,46.79,6.82
JCB,03-07-2014 1:00,0,10.2,94,2.8,265,92.48,32.1,215.65,2.17,46.79,6.23
JCB,03-07-2014 2:00,0,11.2,81,8.9,248,92.48,32.1,215.65,2.85,46.79,8.01
JCB,03-07-2014 3:00,0,9.3,82,4.7,51,92.48,32.1,215.65,2.24,46.79,6.42
JCB,03-07-2014 4:00,0,9.9,78,5.6,82,92.48,32.1,215.65,2.31,46.79,6.61
JCB,03-07-2014 5:00,0,10.9,69,10.6,295,92.48,32.1,215.65,2.99,46.79,8.34
JCB,03-07-2014 6:00,0,12.8,62,20.5,271,92.48,32.1,215.65,4.99,46.79,12.77
JCB,03-07-2014 7:00,0,16.2,51,19.6,275,92.48,32.1,215.65,5.04,46.79,12.87
JCB,03-07-2014 8:00,0,20.5,43,15.6,262,92.48,32.1,215.65,4.55,46.79,11.85
JCB,03-07-2014 9:00,0,23,39,5.1,85,92.48,32.1,215.65,2.96,46.79,8.28
JCB,03-07-2014 10:00,0,24.5,27,8.5,250,92.48,32.1,215.65,4.16,46.79,11.02
JCB,03-07-2014 11:00,0,24.8,28,16.2,210,92.48,32.1,215.65,7.16,46.79,16.85
JCB,03-07-2014 12:00,0,24.2,24,18.4,225,92.48,32.1,215.65,9.3,46.79,20.42
JCB,03-07-2014 13:00,0,25.8,27,13.3,199,92.48,36.71,224,8.03,52.09,19.39
JCB,03-07-2014 14:00,0,26.7,20,19.1,222,92.48,36.71,224,12.51,52.09,26.55
JCB,03-07-2014 15:00,0,27,20,21,226,92.48,36.71,224,15.58,52.09,30.83
JCB,03-07-2014 16:00,0,27,19,21,225,92.48,36.71,224,17.28,52.09,33.05
JCB,03-07-2014 17:00,0,24.6,22,17.7,238,92.48,36.71,224,15.26,52.09,30.41
JCB,03-07-2014 18:00,0,21.7,32,27,249,92.48,36.71,224,24.44,52.09,41.46
JCB,03-07-2014 19:00,0,21.4,34,11.9,211,92.48,36.71,224,11.36,52.09,24.84
JCB,03-07-2014 20:00,0,19.5,43,8.7,283,92.48,36.71,224,9.32,52.09,21.59
JCB,03-07-2014 21:00,0,18.4,40,21.4,258,92.48,36.71,224,17.11,52.09,32.84
JCB,03-07-2014 22:00,0,16.7,44,9.2,257,92.48,36.71,224,8.92,52.09,20.93
JCB,03-07-2014 23:00,0,13.5,55,6.2,306,92.48,36.71,224,7.18,52.09,17.87
