Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,27-06-2015 0:00,0,13.01,61.37,4.63,0,92.64,90.23,367.01,4.32,111.77,18.44
JCB,27-06-2015 1:00,0,12.19,55.56,3.02,0,92.64,90.23,367.01,3.93,111.77,17.17
JCB,27-06-2015 2:00,0,11.13,52.17,3.24,0,92.64,90.23,367.01,3.94,111.77,17.2
JCB,27-06-2015 3:00,0,10.42,54.18,4.39,0,92.64,90.23,367.01,4.12,111.77,17.78
JCB,27-06-2015 4:00,0,9.89,58.18,3.47,0,92.64,90.23,367.01,3.85,111.77,16.91
JCB,27-06-2015 5:00,0,9.66,60.96,0.82,0,92.64,90.23,367.01,3.29,111.77,15.03
JCB,27-06-2015 6:00,0,10.91,57.64,3.37,0,92.64,90.23,367.01,3.69,111.77,16.38
JCB,27-06-2015 7:00,0,13,47.96,4.11,0,92.64,90.23,367.01,3.86,111.77,16.94
JCB,27-06-2015 8:00,0,17.15,43.03,7.56,0,92.64,90.23,367.01,4.64,111.77,19.42
JCB,27-06-2015 9:00,0,20.24,41.54,6.24,0,92.64,90.23,367.01,4.46,111.77,18.85
JCB,27-06-2015 10:00,0,22.27,39.64,5.78,0,92.64,90.23,367.01,4.52,111.77,19.04
JCB,27-06-2015 11:00,0,24.65,36.16,7.42,0,92.64,90.23,367.01,5.21,111.77,21.11
JCB,27-06-2015 12:00,0,25.92,30.4,10.53,0,92.64,90.23,367.01,6.68,111.77,25.16
JCB,27-06-2015 13:00,0,27.35,28.19,13.28,0,92.64,95.61,375.34,8.49,116.82,30.24
JCB,27-06-2015 14:00,0,27.52,31.25,15.53,0,92.64,95.61,375.34,10.16,116.82,34.09
JCB,27-06-2015 15:00,0,27.17,32.28,15.41,0,92.64,95.61,375.34,10.55,116.82,34.95
JCB,27-06-2015 16:00,0,25.91,35.3,16.75,0,92.64,95.61,375.34,11.42,116.82,36.81
JCB,27-06-2015 17:00,0,24.89,37.11,13,0,92.64,95.61,375.34,9.52,116.82,32.64
JCB,27-06-2015 18:00,0,23.83,42.41,11.25,0,92.64,95.61,375.34,8.75,116.82,30.85
JCB,27-06-2015 19:00,0,22.71,44.7,12.77,0,92.64,95.61,375.34,9.37,116.82,32.29
JCB,27-06-2015 20:00,0,20.74,48.15,1.5,0,92.64,95.61,375.34,5.22,116.82,21.57
JCB,27-06-2015 21:00,0,18.56,51.86,2.38,0,92.64,95.61,375.34,5.3,116.82,21.79
JCB,27-06-2015 22:00,0,16.98,49.95,0.46,0,92.64,95.61,375.34,4.72,116.82,20.04
JCB,27-06-2015 23:00,0,16.26,45.37,0.2,0,92.64,95.61,375.34,4.62,116.82,19.74
