Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,16-07-2014 0:00,0,9.9,81,3.9,227,94.29,83.29,319.24,3.63,100.82,15.36
JCB,16-07-2014 1:00,0,11.7,73,7.8,276,94.29,83.29,319.24,4.17,100.82,17.07
JCB,16-07-2014 2:00,0,12.6,66,11.1,326,94.29,83.29,319.24,4.79,100.82,18.89
JCB,16-07-2014 3:00,0,12.2,69,10.3,293,94.29,83.29,319.24,4.44,100.82,17.87
JCB,16-07-2014 4:00,0,11.3,73,10.8,315,94.29,83.29,319.24,4.35,100.82,17.6
JCB,16-07-2014 5:00,0,11.4,72,9.7,321,94.29,83.29,319.24,3.97,100.82,16.45
JCB,16-07-2014 6:00,0,12.3,67,8.9,297,94.29,83.29,319.24,3.76,100.82,15.78
JCB,16-07-2014 7:00,0,14,63,11.5,289,94.29,83.29,319.24,4.3,100.82,17.45
JCB,16-07-2014 8:00,0,18.3,48,19.5,277,94.29,83.29,319.24,6.67,100.82,23.96
JCB,16-07-2014 9:00,0,21.8,43,13.9,279,94.29,83.29,319.24,5.37,100.82,20.53
JCB,16-07-2014 10:00,0,27.9,28,4.5,283,94.29,83.29,319.24,3.91,100.82,16.25
JCB,16-07-2014 11:00,0,29.4,20,8.8,19,94.29,83.29,319.24,6,100.82,22.23
JCB,16-07-2014 12:00,0,29.4,23,12.5,280,94.29,83.29,319.24,8.47,100.82,28.25
JCB,16-07-2014 13:00,0,29.1,22,7.7,136,94.29,88.83,328.19,7.49,105.96,26.59
JCB,16-07-2014 14:00,0,30.8,18,15.2,293,94.29,88.83,328.19,12.73,105.96,37.94
JCB,16-07-2014 15:00,0,28.6,27,12.2,65,94.29,88.83,328.19,11.32,105.96,35.12
JCB,16-07-2014 16:00,0,26.7,33,14.5,80,94.29,88.83,328.19,12.8,105.96,38.07
JCB,16-07-2014 17:00,0,26.1,38,17.9,74,94.29,88.83,328.19,15.12,105.96,42.4
JCB,16-07-2014 18:00,0,25.5,40,13.4,83,94.29,88.83,328.19,11.89,105.96,36.28
JCB,16-07-2014 19:00,0,23.8,43,10.8,82,94.29,88.83,328.19,10.15,105.96,32.67
JCB,16-07-2014 20:00,0,22.3,52,11.6,35,94.29,88.83,328.19,9.91,105.96,32.16
JCB,16-07-2014 21:00,0,19.9,60,8.5,42,94.29,88.83,328.19,7.78,105.96,27.3
JCB,16-07-2014 22:00,0,18.3,55,6.3,47,94.29,88.83,328.19,6.61,105.96,24.38
JCB,16-07-2014 23:00,0,12.2,81,1.8,185,94.29,88.83,328.19,4.65,105.96,18.95
