Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,12-07-2015 0:00,0,13.1,76,8.6,2,91.79,143.52,481.57,0.98,164.49,6.35
JCB,12-07-2015 1:00,0,13.5,74,7.7,304,91.79,143.52,481.57,0.96,164.49,6.24
JCB,12-07-2015 2:00,0,13.3,72,4.9,312,91.79,143.52,481.57,0.85,164.49,5.59
JCB,12-07-2015 3:00,0,11.3,81,9.7,276,91.79,143.52,481.57,1.11,164.49,7.15
JCB,12-07-2015 4:00,0,12.7,74,13.3,249,91.79,143.52,481.57,1.37,164.49,8.63
JCB,12-07-2015 5:00,0,13.4,70,9.9,285,91.79,143.52,481.57,1.2,164.49,7.66
JCB,12-07-2015 6:00,0,12.8,75,5.7,278,91.79,143.52,481.57,0.99,164.49,6.46
JCB,12-07-2015 7:00,0,13.9,71,4.1,297,91.79,143.52,481.57,0.95,164.49,6.16
JCB,12-07-2015 8:00,0,15.5,71,3.5,68,91.79,143.52,481.57,0.95,164.49,6.18
JCB,12-07-2015 9:00,0,18.7,56,11.5,265,91.79,143.52,481.57,1.54,164.49,9.55
JCB,12-07-2015 10:00,0,20.4,50,12.1,253,91.79,143.52,481.57,1.78,164.49,10.76
JCB,12-07-2015 11:00,0,21.5,44,10.2,275,91.79,143.52,481.57,1.86,164.49,11.15
JCB,12-07-2015 12:00,0,22.6,40,9.8,285,91.79,143.52,481.57,2.14,164.49,12.48
JCB,12-07-2015 13:00,0,23.7,33,11,271,91.79,147.42,489.54,2.77,168.21,15.35
JCB,12-07-2015 14:00,0,21.6,51,12.2,91,91.79,147.42,489.54,3.22,168.21,17.17
JCB,12-07-2015 15:00,0,20.5,50,9.7,18,91.79,147.42,489.54,3.05,168.21,16.51
JCB,12-07-2015 16:00,0,21.9,48,11.2,79,91.79,147.42,489.54,3.57,168.21,18.55
JCB,12-07-2015 17:00,0,22.5,47,5,48,91.79,147.42,489.54,2.8,168.21,15.46
JCB,12-07-2015 18:00,0,21.3,36,17.2,266,91.79,147.42,489.54,5.82,168.21,26.29
JCB,12-07-2015 19:00,0,21.4,33,15.7,267,91.79,147.42,489.54,6.06,168.21,27
JCB,12-07-2015 20:00,0,19.1,41,7.7,289,91.79,147.42,489.54,4.22,168.21,20.95
JCB,12-07-2015 21:00,0,17.1,56,5.2,108,91.79,147.42,489.54,3.75,168.21,19.22
JCB,12-07-2015 22:00,0,14.6,71,8.9,95,91.79,147.42,489.54,4.32,168.21,21.3
JCB,12-07-2015 23:00,0,10.7,83,2.6,251,91.79,147.42,489.54,2.91,168.21,15.94
