Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-07-2015 0:00,0,15.09,48.04,2.46,0,93.96,130.78,456.93,5.89,152.46,25.83
JCB,09-07-2015 1:00,0,13.03,49,1.36,0,93.96,130.78,456.93,5.4,152.46,24.32
JCB,09-07-2015 2:00,0,12.68,49.42,0.67,0,93.96,130.78,456.93,5.07,152.46,23.28
JCB,09-07-2015 3:00,0,13.02,52.95,3.82,0,93.96,130.78,456.93,5.7,152.46,25.26
JCB,09-07-2015 4:00,0,11.81,59.31,0.2,0,93.96,130.78,456.93,4.55,152.46,21.56
JCB,09-07-2015 5:00,0,11.02,63.09,0.79,0,93.96,130.78,456.93,4.45,152.46,21.21
JCB,09-07-2015 6:00,0,11.71,58.9,2.64,0,93.96,130.78,456.93,4.68,152.46,21.98
JCB,09-07-2015 7:00,0,14.37,49.58,3.87,0,93.96,130.78,456.93,4.9,152.46,22.73
JCB,09-07-2015 8:00,0,18.3,37.43,2.23,0,93.96,130.78,456.93,4.55,152.46,21.54
JCB,09-07-2015 9:00,0,21.07,37.73,4.92,0,93.96,130.78,456.93,5.25,152.46,23.86
JCB,09-07-2015 10:00,0,23.34,27,9.41,0,93.96,130.78,456.93,7.06,152.46,29.26
JCB,09-07-2015 11:00,0,25.03,23.45,8.49,0,93.96,130.78,456.93,7.35,152.46,30.07
JCB,09-07-2015 12:00,0,26.58,22.93,6.66,0,93.96,130.78,456.93,7.27,152.46,29.86
JCB,09-07-2015 13:00,0,27.2,22.12,9.35,0,93.96,135.95,465.53,9.02,157.16,34.75
JCB,09-07-2015 14:00,0,27.69,20.68,10.36,0,93.96,135.95,465.53,10.26,157.16,37.82
JCB,09-07-2015 15:00,0,26.96,24.76,13.85,0,93.96,135.95,465.53,12.64,157.16,43.29
JCB,09-07-2015 16:00,0,26.36,27.73,16.7,0,93.96,135.95,465.53,14.7,157.16,47.63
JCB,09-07-2015 17:00,0,25.51,30.21,16.87,0,93.96,135.95,465.53,14.93,157.16,48.1
JCB,09-07-2015 18:00,0,24.35,32.27,13.53,0,93.96,135.95,465.53,12.71,157.16,43.43
JCB,09-07-2015 19:00,0,23.06,36.23,7.81,0,93.96,135.95,465.53,9.43,157.16,35.79
JCB,09-07-2015 20:00,0,20.93,43.19,4.72,0,93.96,135.95,465.53,7.81,157.16,31.57
JCB,09-07-2015 21:00,0,19.06,47.63,0.62,0,93.96,135.95,465.53,6.13,157.16,26.79
JCB,09-07-2015 22:00,0,17.13,49.99,0.69,0,93.96,135.95,465.53,5.91,157.16,26.12
JCB,09-07-2015 23:00,0,15.67,45.43,0.15,0,93.96,135.95,465.53,5.62,157.16,25.22
