Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,13-08-2014 0:00,0,14.6,90,4.9,241,92.29,172.67,524.81,3.24,189.48,17.71
JCB,13-08-2014 1:00,0,17.3,68,13.4,242,92.29,172.67,524.81,4.91,189.48,23.89
JCB,13-08-2014 2:00,0,17.2,59,16.7,261,92.29,172.67,524.81,5.84,189.48,26.94
JCB,13-08-2014 3:00,0,17.2,59,24.2,260,92.29,172.67,524.81,8.58,189.48,34.91
JCB,13-08-2014 4:00,0,15.9,65,19.1,266,92.29,172.67,524.81,6.59,189.48,29.26
JCB,13-08-2014 5:00,0,14.1,72,11.4,254,92.29,172.67,524.81,4.33,189.48,21.83
JCB,13-08-2014 6:00,0,13.6,74,13.6,269,92.29,172.67,524.81,4.65,189.48,22.99
JCB,13-08-2014 7:00,0,16.5,63,21,276,92.29,172.67,524.81,6.8,189.48,29.88
JCB,13-08-2014 8:00,0,17.1,63,22.1,282,92.29,172.67,524.81,7.24,189.48,31.16
JCB,13-08-2014 9:00,0,20.7,54,16.9,277,92.29,172.67,524.81,5.71,189.48,26.52
JCB,13-08-2014 10:00,0,23.9,40,9.4,273,92.29,172.67,524.81,4.28,189.48,21.66
JCB,13-08-2014 11:00,0,25.6,36,16,213,92.29,172.67,524.81,6.71,189.48,29.63
JCB,13-08-2014 12:00,0,24.3,41,13.1,209,92.29,172.67,524.81,6.16,189.48,27.93
JCB,13-08-2014 13:00,0,24.8,38,18.4,293,92.29,175.99,532.27,8.64,192.7,35.14
JCB,13-08-2014 14:00,0,25.3,35,15.3,286,92.29,175.99,532.27,7.97,192.7,33.31
JCB,13-08-2014 15:00,0,26.8,29,14,294,92.29,175.99,532.27,8.3,192.7,34.22
JCB,13-08-2014 16:00,0,25.1,32,16.9,333,92.29,175.99,532.27,10.18,192.7,39.13
JCB,13-08-2014 17:00,0,25.2,34,13.2,0,92.29,175.99,532.27,8.75,192.7,35.44
JCB,13-08-2014 18:00,0,24.4,37,9.6,348,92.29,175.99,532.27,7.37,192.7,31.61
JCB,13-08-2014 19:00,0,23,41,7.8,19,92.29,175.99,532.27,6.77,192.7,29.88
JCB,13-08-2014 20:00,0,21,52,7.7,108,92.29,175.99,532.27,6.57,192.7,29.26
JCB,13-08-2014 21:00,0,18.8,56,18.4,211,92.29,175.99,532.27,10.71,192.7,40.44
JCB,13-08-2014 22:00,0,16,67,6.3,132,92.29,175.99,532.27,5.4,192.7,25.6
JCB,13-08-2014 23:00,0,14.3,77,3.9,71,92.29,175.99,532.27,4.34,192.7,21.94

