Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,08-06-2018 0:00,0,11.6,38,11.6,266,94.82,115.45,468.64,11.02,142.89,38.62
JCB,08-06-2018 1:00,0,10.8,40,12,252,94.82,115.45,468.64,10.83,142.89,38.17
JCB,08-06-2018 2:00,0,8.5,49,11.3,287,94.82,115.45,468.64,9.84,142.89,35.86
JCB,08-06-2018 3:00,0,7.9,50,5,300,94.82,115.45,468.64,6.83,142.89,28.06
JCB,08-06-2018 4:00,0,8.1,51,19.6,281,94.82,115.45,468.64,13.36,142.89,43.71
JCB,08-06-2018 5:00,0,8.5,52,14.2,280,94.82,115.45,468.64,9.63,142.89,35.34
JCB,08-06-2018 6:00,0,8,56,7.8,231,94.82,115.45,468.64,6.61,142.89,27.44
JCB,08-06-2018 7:00,0,7,64,5.3,237,94.82,115.45,468.64,5.45,142.89,24.02
JCB,08-06-2018 8:00,0,8.8,62,3.3,25,94.82,115.45,468.64,4.68,142.89,21.57
JCB,08-06-2018 9:00,0,18.3,31,8.4,122,94.82,115.45,468.64,6.24,142.89,26.37
JCB,08-06-2018 10:00,0,19.4,29,5.4,335,94.82,115.45,468.64,5.56,142.89,24.35
JCB,08-06-2018 11:00,0,20.7,22,19.6,226,94.82,115.45,468.64,12.37,142.89,41.62
JCB,08-06-2018 12:00,0,21.6,20,18.6,222,94.82,115.45,468.64,12.84,142.89,42.6
JCB,08-06-2018 13:00,0,21.9,17,16.7,187,94.82,120.48,475.98,12.78,147.57,42.87
JCB,08-06-2018 14:00,0,22.4,19,8.9,203,94.82,120.48,475.98,9.14,147.57,34.49
JCB,08-06-2018 15:00,0,22.3,15,17.8,238,94.82,120.48,475.98,15.52,147.57,48.51
JCB,08-06-2018 16:00,0,22.3,16,14.7,223,94.82,120.48,475.98,14.05,147.57,45.56
JCB,08-06-2018 17:00,0,20.4,20,13.5,249,94.82,120.48,475.98,13.4,147.57,44.2
JCB,08-06-2018 18:00,0,21.4,20,14.7,192,94.82,120.48,475.98,14.45,147.57,46.36
JCB,08-06-2018 19:00,0,21,22,6.2,246,94.82,120.48,475.98,9.48,147.57,35.32
JCB,08-06-2018 20:00,0,18.4,28,6.6,149,94.82,120.48,475.98,9.66,147.57,35.75
JCB,08-06-2018 21:00,0,9,62,2.5,283,94.82,120.48,475.98,7.17,147.57,29.29
JCB,08-06-2018 22:00,0,5.5,70,2,264,94.82,120.48,475.98,6.33,147.57,26.92
JCB,08-06-2018 23:00,0,3.3,79,3,276,94.82,120.48,475.98,5.92,147.57,25.68
