Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-06-2018 0:00,0,5.6,52,3.6,129,94.77,110.15,461.16,5.39,137.93,23.53
JCB,07-06-2018 1:00,0,5.7,50,10,136,94.77,110.15,461.16,7.16,137.93,28.66
JCB,07-06-2018 2:00,0,4.7,55,7,240,94.77,110.15,461.16,5.89,137.93,25.06
JCB,07-06-2018 3:00,0,4.2,57,7.2,172,94.77,110.15,461.16,5.69,137.93,24.46
JCB,07-06-2018 4:00,0,3.4,61,4.5,69,94.77,110.15,461.16,4.74,137.93,21.5
JCB,07-06-2018 5:00,0,3.7,61,6.5,352,94.77,110.15,461.16,5.01,137.93,22.36
JCB,07-06-2018 6:00,0,5.1,57,12.9,313,94.77,110.15,461.16,6.66,137.93,27.26
JCB,07-06-2018 7:00,0,8.5,48,7.4,322,94.77,110.15,461.16,5.01,137.93,22.35
JCB,07-06-2018 8:00,0,13,39,11.5,250,94.77,110.15,461.16,6.2,137.93,25.96
JCB,07-06-2018 9:00,0,17.6,31,3.9,210,94.77,110.15,461.16,4.4,137.93,20.38
JCB,07-06-2018 10:00,0,19.8,23,6.8,208,94.77,110.15,461.16,5.54,137.93,24
JCB,07-06-2018 11:00,0,21.3,21,8.8,98,94.77,110.15,461.16,6.73,137.93,27.48
JCB,07-06-2018 12:00,0,22,13,8.4,174,94.77,110.15,461.16,7.53,137.93,29.66
JCB,07-06-2018 13:00,0,22.6,15,12.5,183,94.77,115.45,468.64,10.32,142.89,36.98
JCB,07-06-2018 14:00,0,22.1,17,11.1,329,94.77,115.45,468.64,10.33,142.89,37
JCB,07-06-2018 15:00,0,22.7,14,12.3,172,94.77,115.45,468.64,11.92,142.89,40.63
JCB,07-06-2018 16:00,0,22.5,14,10.8,216,94.77,115.45,468.64,11.81,142.89,40.38
JCB,07-06-2018 17:00,0,23,16,12.2,258,94.77,115.45,468.64,13.25,142.89,43.48
JCB,07-06-2018 18:00,0,21.8,17,9.7,266,94.77,115.45,468.64,11.97,142.89,40.73
JCB,07-06-2018 19:00,0,21.3,18,11.1,271,94.77,115.45,468.64,13,142.89,42.96
JCB,07-06-2018 20:00,0,18.8,23,8.4,281,94.77,115.45,468.64,11.41,142.89,39.5
JCB,07-06-2018 21:00,0,14.9,36,3,67,94.77,115.45,468.64,8.44,142.89,32.38
JCB,07-06-2018 22:00,0,10.2,57,3.4,299,94.77,115.45,468.64,7.9,142.89,30.98
JCB,07-06-2018 23:00,0,10.7,43,5.7,205,94.77,115.45,468.64,8.48,142.89,32.48
