Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,24-07-2016 0:00,0,10.5,57,13.3,263,93.11,94.96,535.25,7.93,131.57,30.22
JCB,24-07-2016 1:00,0,9.3,61,15.5,268,93.11,94.96,535.25,8.33,131.57,31.23
JCB,24-07-2016 2:00,0,8.8,64,11.8,264,93.11,94.96,535.25,6.5,131.57,26.39
JCB,24-07-2016 3:00,0,6.5,74,10.3,281,93.11,94.96,535.25,5.55,131.57,23.62
JCB,24-07-2016 4:00,0,6.4,72,4.4,275,93.11,94.96,535.25,3.89,131.57,18.28
JCB,24-07-2016 5:00,0,6.5,73,8.6,341,93.11,94.96,535.25,4.51,131.57,20.38
JCB,24-07-2016 6:00,0,7.1,72,4.8,331,93.11,94.96,535.25,3.55,131.57,17.09
JCB,24-07-2016 7:00,0,10.8,60,16.5,261,93.11,94.96,535.25,6.3,131.57,25.83
JCB,24-07-2016 8:00,0,14.9,53,14.9,270,93.11,94.96,535.25,5.85,131.57,24.54
JCB,24-07-2016 9:00,0,18.7,45,12.8,299,93.11,94.96,535.25,5.42,131.57,23.23
JCB,24-07-2016 10:00,0,21.3,34,6.3,331,93.11,94.96,535.25,4.2,131.57,19.37
JCB,24-07-2016 11:00,0,22.7,28,9.2,318,93.11,94.96,535.25,5.41,131.57,23.21
JCB,24-07-2016 12:00,0,24.5,24,8,354,93.11,94.96,535.25,5.75,131.57,24.23
JCB,24-07-2016 13:00,0,25.6,25,14.9,221,93.11,99.66,543.56,9.13,136.68,33.65
JCB,24-07-2016 14:00,0,26.2,25,19.4,275,93.11,99.66,543.56,12.68,136.68,41.7
JCB,24-07-2016 15:00,0,25.2,23,20.8,239,93.11,99.66,543.56,14.86,136.68,46.13
JCB,24-07-2016 16:00,0,23,23,25.4,223,93.11,99.66,543.56,19.84,136.68,55.28
JCB,24-07-2016 17:00,0,22.5,25,19.8,253,93.11,99.66,543.56,15.4,136.68,47.19
JCB,24-07-2016 18:00,0,23.9,24,24.9,292,93.11,99.66,543.56,20.69,136.68,56.73
JCB,24-07-2016 19:00,0,23.3,26,18.6,287,93.11,99.66,543.56,15.27,136.68,46.94
JCB,24-07-2016 20:00,0,19.2,34,7.8,280,93.11,99.66,543.56,8.83,136.68,32.91
JCB,24-07-2016 21:00,0,18.5,37,7.5,274,93.11,99.66,543.56,8.58,136.68,32.29
JCB,24-07-2016 22:00,0,12.9,59,8.2,281,93.11,99.66,543.56,8.15,136.68,31.18
JCB,24-07-2016 23:00,0,12.4,59,2.9,316,93.11,99.66,543.56,5.84,136.68,24.83
