Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,12-08-2014 0:00,0,8,95,3.5,240,94.25,167.74,516.49,2.64,185.15,15.12
JCB,12-08-2014 1:00,0,9.1,95,3.1,55,94.25,167.74,516.49,2.28,185.15,13.51
JCB,12-08-2014 2:00,0,9.2,91,3.2,153,94.25,167.74,516.49,2.12,185.15,12.73
JCB,12-08-2014 3:00,0,9,91,4.8,192,94.25,167.74,516.49,2.13,185.15,12.79
JCB,12-08-2014 4:00,0,10.3,86,13.3,255,94.25,167.74,516.49,3.13,185.15,17.17
JCB,12-08-2014 5:00,0,10.8,84,6.9,274,94.25,167.74,516.49,2.21,185.15,13.16
JCB,12-08-2014 6:00,0,10.2,85,14.6,283,94.25,167.74,516.49,3.16,185.15,17.29
JCB,12-08-2014 7:00,0,11.6,80,14.8,287,94.25,167.74,516.49,3.18,185.15,17.39
JCB,12-08-2014 8:00,0,14.5,71,20,300,94.25,167.74,516.49,4.18,185.15,21.21
JCB,12-08-2014 9:00,0,17.9,62,19.1,293,94.25,167.74,516.49,4.17,185.15,21.19
JCB,12-08-2014 10:00,0,22.6,50,11.6,277,94.25,167.74,516.49,3.15,185.15,17.26
JCB,12-08-2014 11:00,0,26.2,37,7.4,273,94.25,167.74,516.49,3,185.15,16.63
JCB,12-08-2014 12:00,0,29.9,22,4.9,4,94.25,167.74,516.49,3.41,185.15,18.3
JCB,12-08-2014 13:00,0,29.5,22,12.9,88,94.25,172.67,524.81,6.51,189.48,29
JCB,12-08-2014 14:00,0,29,29,19,79,94.25,172.67,524.81,10.27,189.48,39.27
JCB,12-08-2014 15:00,0,26.4,34,17.2,114,94.25,172.67,524.81,9.99,189.48,38.56
JCB,12-08-2014 16:00,0,26.6,37,14.9,75,94.25,172.67,524.81,9.2,189.48,36.54
JCB,12-08-2014 17:00,0,24.5,45,7.3,21,94.25,172.67,524.81,6.32,189.48,28.42
JCB,12-08-2014 18:00,0,24.8,46,10.2,74,94.25,172.67,524.81,7.36,189.48,31.52
JCB,12-08-2014 19:00,0,22.6,55,5.2,90,94.25,172.67,524.81,5.57,189.48,26.08
JCB,12-08-2014 20:00,0,19.6,68,4.5,59,94.25,172.67,524.81,4.99,189.48,24.16
JCB,12-08-2014 21:00,0,17.3,79,4.4,242,94.25,172.67,524.81,4.43,189.48,22.21
JCB,12-08-2014 22:00,0,17.7,72,6.1,125,94.25,172.67,524.81,4.5,189.48,22.46
JCB,12-08-2014 23:00,0,15.2,86,4.4,283,94.25,172.67,524.81,3.64,189.48,19.27
