Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-09-2017 0:00,0,11.1,51.9,0,0,96.74,44.75,235.19,5.87,60.65,16.67
JCB,07-09-2017 1:00,0,10.7,49.9,0,0,96.74,44.75,235.19,6.44,60.65,17.87
JCB,07-09-2017 2:00,0,10.2,53,0,0,96.74,44.75,235.19,8.48,60.65,21.83
JCB,07-09-2017 3:00,0,9.7,54,0,0,96.74,44.75,235.19,6.66,60.65,18.33
JCB,07-09-2017 4:00,0,9.4,56.1,0,0,96.74,44.75,235.19,8.82,60.65,22.45
JCB,07-09-2017 5:00,0,9.4,59.7,0,0,96.74,44.75,235.19,8.42,60.65,21.73
JCB,07-09-2017 6:00,0,9,63.6,0,0,96.74,44.75,235.19,5.25,60.65,15.34
JCB,07-09-2017 7:00,0,9.7,62.8,0,0,96.74,44.75,235.19,7.57,60.65,20.12
JCB,07-09-2017 8:00,0,11.3,62.6,0,0,96.74,44.75,235.19,10.43,60.65,25.25
JCB,07-09-2017 9:00,0,14.5,59.9,0,0,96.74,44.75,235.19,7.76,60.65,20.49
JCB,07-09-2017 10:00,0,19.1,51,0,0,96.74,44.75,235.19,8.93,60.65,22.66
JCB,07-09-2017 11:00,0,25.8,20.9,0,0,96.74,44.75,235.19,8.89,60.65,22.59
JCB,07-09-2017 12:00,0,28.1,17.9,0,0,96.74,44.75,235.19,5.9,60.65,16.75
JCB,07-09-2017 13:00,0,29.5,16.5,0,0,96.74,49.71,242.53,8.71,65.73,23.2
JCB,07-09-2017 14:00,0,29.5,16.2,0,0,96.74,49.71,242.53,10.4,65.73,26.26
JCB,07-09-2017 15:00,0,29,18,0,0,96.74,49.71,242.53,14.44,65.73,32.8
JCB,07-09-2017 16:00,0,28.2,18.9,0,0,96.74,49.71,242.53,11.9,65.73,28.8
JCB,07-09-2017 17:00,0,26.6,25.4,0,0,96.74,49.71,242.53,14.22,65.73,32.47
JCB,07-09-2017 18:00,0,23.2,32.8,0,0,96.74,49.71,242.53,15.35,65.73,34.16
JCB,07-09-2017 19:00,0,19.9,40.3,0,0,96.74,49.71,242.53,12.36,65.73,29.54
JCB,07-09-2017 20:00,0,17.5,43.5,0,0,96.74,49.71,242.53,10.49,65.73,26.4
JCB,07-09-2017 21:00,0,16.2,45.9,0,0,96.74,49.71,242.53,8.15,65.73,22.13
JCB,07-09-2017 22:00,0,15.1,48.3,0,0,96.74,49.71,242.53,8.74,65.73,23.25
JCB,07-09-2017 23:00,0,14.2,49.9,0,0,96.74,49.71,242.53,8.12,65.73,22.07
