Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,24-05-2018 0:00,0,5.6,79,1.8,262,93.78,143.93,393.03,4.47,150.28,21.2
JCB,24-05-2018 1:00,0,7.7,66,7.8,255,93.78,143.93,393.03,5.65,150.28,25.01
JCB,24-05-2018 2:00,0,5.1,80,3.9,91,93.78,143.93,393.03,4.22,150.28,20.34
JCB,24-05-2018 3:00,0,5.3,82,0,154,93.78,143.93,393.03,3.24,150.28,16.73
JCB,24-05-2018 4:00,0,4.3,85,1.6,102,93.78,143.93,393.03,3.21,150.28,16.62
JCB,24-05-2018 5:00,0,5.7,81,2,311,93.78,143.93,393.03,3.05,150.28,16.01
JCB,24-05-2018 6:00,0,8.7,69,6.9,262,93.78,143.93,393.03,3.77,150.28,18.73
JCB,24-05-2018 7:00,0,10.8,57,14.8,262,93.78,143.93,393.03,5.61,150.28,24.88
JCB,24-05-2018 8:00,0,14.5,46,4.5,260,93.78,143.93,393.03,3.38,150.28,17.29
JCB,24-05-2018 9:00,0,20.2,28,17.2,276,93.78,143.93,393.03,7.23,150.28,29.61
JCB,24-05-2018 10:00,0,21.2,24,15.7,270,93.78,143.93,393.03,7.62,150.28,30.68
JCB,24-05-2018 11:00,0,21.5,23,11.7,225,93.78,143.93,393.03,6.95,150.28,28.83
JCB,24-05-2018 12:00,0,21.6,22,12.1,318,93.78,143.93,393.03,7.82,150.28,31.24
JCB,24-05-2018 13:00,0,24,21,16.9,265,93.78,149.15,399.76,11.14,154.34,39.71
JCB,24-05-2018 14:00,0,22.5,21,25.3,225,93.78,149.15,399.76,18.53,154.34,54.8
JCB,24-05-2018 15:00,0,22.2,23,23,249,93.78,149.15,399.76,17.39,154.34,52.69
JCB,24-05-2018 16:00,0,22.5,21,22.3,260,93.78,149.15,399.76,17.77,154.34,53.4
JCB,24-05-2018 17:00,0,21.3,23,26.6,282,93.78,149.15,399.76,22.68,154.34,62.03
JCB,24-05-2018 18:00,0,21.6,22,26,261,93.78,149.15,399.76,22.67,154.34,62.02
JCB,24-05-2018 19:00,0,20.3,24,23.2,247,93.78,149.15,399.76,19.83,154.34,57.14
JCB,24-05-2018 20:00,0,18.1,29,15.9,273,93.78,149.15,399.76,13.79,154.34,45.55
JCB,24-05-2018 21:00,0,14.9,36,8.2,299,93.78,149.15,399.76,9.17,154.34,34.98
JCB,24-05-2018 22:00,0,10,54,3.4,102,93.78,149.15,399.76,6.76,154.34,28.52
JCB,24-05-2018 23:00,0,7.5,64,5.8,89,93.78,149.15,399.76,6.98,154.34,29.14
