Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,21-07-2016 0:00,0,14.4,36,19.4,268,93.39,83.28,512.47,14.19,118.44,42.6
JCB,21-07-2016 1:00,0,13.9,36,18,268,93.39,83.28,512.47,13.07,118.44,40.42
JCB,21-07-2016 2:00,0,14.3,35,20.9,262,93.39,83.28,512.47,15.03,118.44,44.2
JCB,21-07-2016 3:00,0,13.4,40,19,267,93.39,83.28,512.47,13.35,118.44,40.96
JCB,21-07-2016 4:00,0,13.4,39,19.1,270,93.39,83.28,512.47,13.18,118.44,40.63
JCB,21-07-2016 5:00,0,13.2,39,22.5,272,93.39,83.28,512.47,15.38,118.44,44.86
JCB,21-07-2016 6:00,0,10.3,51,11.5,303,93.39,83.28,512.47,8.42,118.44,30.22
JCB,21-07-2016 7:00,0,13,46,10.4,283,93.39,83.28,512.47,7.76,118.44,28.59
JCB,21-07-2016 8:00,0,17.6,32,20.3,275,93.39,83.28,512.47,12.87,118.44,40
JCB,21-07-2016 9:00,0,18.5,28,24.4,301,93.39,83.28,512.47,16.22,118.44,46.39
JCB,21-07-2016 10:00,0,19.7,30,23.3,287,93.39,83.28,512.47,15.58,118.44,45.22
JCB,21-07-2016 11:00,0,20.6,26,23.4,290,93.39,83.28,512.47,16.28,118.44,46.51
JCB,21-07-2016 12:00,0,21.4,28,24.9,298,93.39,83.28,512.47,18,118.44,49.54
JCB,21-07-2016 13:00,0,21.8,20,22.3,280,93.39,87.58,520.1,16.95,123.27,48.42
JCB,21-07-2016 14:00,0,22.6,22,23.1,275,93.39,87.58,520.1,18.54,123.27,51.21
JCB,21-07-2016 15:00,0,22.9,23,20.1,298,93.39,87.58,520.1,16.49,123.27,47.58
JCB,21-07-2016 16:00,0,22.9,21,23.3,284,93.39,87.58,520.1,20.19,123.27,54
JCB,21-07-2016 17:00,0,22.2,22,14.4,279,93.39,87.58,520.1,13.17,123.27,41.23
JCB,21-07-2016 18:00,0,22.7,21,19.2,305,93.39,87.58,520.1,17.23,123.27,48.91
JCB,21-07-2016 19:00,0,21.6,24,13,288,93.39,87.58,520.1,12.7,123.27,40.27
JCB,21-07-2016 20:00,0,18.1,33,11.2,295,93.39,87.58,520.1,11.43,123.27,37.62
JCB,21-07-2016 21:00,0,12.5,49,7.5,296,93.39,87.58,520.1,8.9,123.27,31.88
JCB,21-07-2016 22:00,0,10.3,61,4.2,114,93.39,87.58,520.1,6.92,123.27,26.87
JCB,21-07-2016 23:00,0,7.2,78,2.1,184,93.39,87.58,520.1,5.53,123.27,22.99
