Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,22-08-2018 0:00,0,11.1,57,12.4,302,94.61,194.51,949.74,5.99,257.29,28.21
JCB,22-08-2018 1:00,0,9.6,61,6.3,346,94.61,194.51,949.74,4.28,257.29,22.32
JCB,22-08-2018 2:00,0,9.9,58,13.8,264,94.61,194.51,949.74,6.11,257.29,28.59
JCB,22-08-2018 3:00,0,9.1,60,13.9,285,94.61,194.51,949.74,5.98,257.29,28.18
JCB,22-08-2018 4:00,0,8.5,62,12.1,283,94.61,194.51,949.74,5.3,257.29,25.96
JCB,22-08-2018 5:00,0,8.1,62,13.9,276,94.61,194.51,949.74,5.65,257.29,27.12
JCB,22-08-2018 6:00,0,7.3,65,10.7,302,94.61,194.51,949.74,4.66,257.29,23.72
JCB,22-08-2018 7:00,0,9,59,16.1,283,94.61,194.51,949.74,6.05,257.29,28.4
JCB,22-08-2018 8:00,0,12.7,47,20,277,94.61,194.51,949.74,7.41,257.29,32.57
JCB,22-08-2018 9:00,0,17.5,38,22.4,272,94.61,194.51,949.74,8.86,257.29,36.65
JCB,22-08-2018 10:00,0,21.4,31,18.1,274,94.61,194.51,949.74,7.91,257.29,34.01
JCB,22-08-2018 11:00,0,25.5,20,8,319,94.61,194.51,949.74,5.61,257.29,26.98
JCB,22-08-2018 12:00,0,26.5,20,12.3,106,94.61,194.51,949.74,8.14,257.29,34.69
JCB,22-08-2018 13:00,0,27.4,19,10.1,109,94.61,199.27,957.68,8.35,262.17,35.3
JCB,22-08-2018 14:00,0,27.6,21,12.2,86,94.61,199.27,957.68,10.27,262.17,40.39
JCB,22-08-2018 15:00,0,27.7,22,17.3,78,94.61,199.27,957.68,14.35,262.17,49.98
JCB,22-08-2018 16:00,0,27.6,22,18,80,94.61,199.27,957.68,15.8,262.17,53.06
JCB,22-08-2018 17:00,0,26.8,24,14.1,79,94.61,199.27,957.68,13.35,262.17,47.74
JCB,22-08-2018 18:00,0,25.5,26,11.1,76,94.61,199.27,957.68,11.55,262.17,43.57
JCB,22-08-2018 19:00,0,23.3,31,7.3,72,94.61,199.27,957.68,9.59,262.17,38.63
JCB,22-08-2018 20:00,0,15.8,55,2.7,231,94.61,199.27,957.68,7.06,262.17,31.57
JCB,22-08-2018 21:00,0,12.6,62,2.7,217,94.61,199.27,957.68,6.48,262.17,29.79
JCB,22-08-2018 22:00,0,9.7,74,0,226,94.61,199.27,957.68,5.19,262.17,25.57
JCB,22-08-2018 23:00,0,7.5,80,2.4,267,94.61,199.27,957.68,5.18,262.17,25.57
