Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,10-08-2018 0:00,0,7.8,83,1.9,298,97.18,155.99,867.44,4.93,215.22,24.35
JCB,10-08-2018 1:00,0,7.7,82,4.5,12,97.18,155.99,867.44,4.96,215.22,24.45
JCB,10-08-2018 2:00,0,6.3,89,5.4,281,97.18,155.99,867.44,4.47,215.22,22.72
JCB,10-08-2018 3:00,0,5.5,90,2.5,133,97.18,155.99,867.44,3.41,215.22,18.68
JCB,10-08-2018 4:00,0,5.5,91,6.3,105,97.18,155.99,867.44,3.61,215.22,19.49
JCB,10-08-2018 5:00,0,7.3,82,7.8,113,97.18,155.99,867.44,3.61,215.22,19.48
JCB,10-08-2018 6:00,0,6.7,85,7.8,288,97.18,155.99,867.44,3.33,215.22,18.36
JCB,10-08-2018 7:00,0,11.2,77,3.5,12,97.18,155.99,867.44,2.59,215.22,15.22
JCB,10-08-2018 8:00,0,18.3,59,5,84,97.18,155.99,867.44,2.82,215.22,16.25
JCB,10-08-2018 9:00,0,25.3,35,4.9,79,97.18,155.99,867.44,3.19,215.22,17.8
JCB,10-08-2018 10:00,0,28.6,18,19.8,300,97.18,155.99,867.44,9.08,215.22,36.8
JCB,10-08-2018 11:00,0,30,15,23.7,266,97.18,155.99,867.44,14.7,215.22,50.1
JCB,10-08-2018 12:00,0,31.5,13,12.9,216,97.18,155.99,867.44,10.7,215.22,40.95
JCB,10-08-2018 13:00,0,32.3,12,10.6,201,97.18,162.05,876.25,11.45,221.63,42.88
JCB,10-08-2018 14:00,0,32.9,13,8.6,211,97.18,162.05,876.25,11.82,221.63,43.77
JCB,10-08-2018 15:00,0,32.9,12,14,196,97.18,162.05,876.25,17.45,221.63,55.88
JCB,10-08-2018 16:00,0,32.9,10,10.5,257,97.18,162.05,876.25,16.16,221.63,53.28
JCB,10-08-2018 17:00,0,32.2,14,18.1,233,97.18,162.05,876.25,24.72,221.63,69.06
JCB,10-08-2018 18:00,0,30.9,12,16.2,242,97.18,162.05,876.25,23.37,221.63,66.77
JCB,10-08-2018 19:00,0,30.2,14,20.6,260,97.18,162.05,876.25,29.48,221.63,76.69
JCB,10-08-2018 20:00,0,24.9,25,3.8,178,97.18,162.05,876.25,12.42,221.63,45.16
JCB,10-08-2018 21:00,0,16.2,54,2.5,270,97.18,162.05,876.25,10.4,221.63,40.3
JCB,10-08-2018 22:00,0,12.6,61,3.7,296,97.18,162.05,876.25,9.74,221.63,38.64
JCB,10-08-2018 23:00,0,12,63,2.6,282,97.18,162.05,876.25,8.23,221.63,34.59
