Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,26-07-2016 0:00,0,12,78,6.8,101,90.76,102.57,551.19,1.68,140,9.72
JCB,26-07-2016 1:00,0,10.4,79,6.1,358,90.76,102.57,551.19,1.63,140,9.48
JCB,26-07-2016 2:00,0,10.3,79,9.5,348,90.76,102.57,551.19,1.95,140,10.98
JCB,26-07-2016 3:00,0,10.3,77,9,273,90.76,102.57,551.19,1.92,140,10.82
JCB,26-07-2016 4:00,0,10.9,73,10.1,294,90.76,102.57,551.19,2.06,140,11.46
JCB,26-07-2016 5:00,0,9.1,80,13.2,247,90.76,102.57,551.19,2.42,140,13.04
JCB,26-07-2016 6:00,0,10.1,73,11,274,90.76,102.57,551.19,2.19,140,12.06
JCB,26-07-2016 7:00,0,13.3,61,10.3,283,90.76,102.57,551.19,2.2,140,12.12
JCB,26-07-2016 8:00,0,15.7,56,14.9,280,90.76,102.57,551.19,2.96,140,15.28
JCB,26-07-2016 9:00,0,19.6,45,9.6,271,90.76,102.57,551.19,2.52,140,13.49
JCB,26-07-2016 10:00,0,22.5,33,9.3,69,90.76,102.57,551.19,2.94,140,15.18
JCB,26-07-2016 11:00,0,22.2,35,6.4,47,90.76,102.57,551.19,2.89,140,14.99
JCB,26-07-2016 12:00,0,22.2,41,10.4,65,90.76,102.57,551.19,3.9,140,18.75
JCB,26-07-2016 13:00,0,21.7,39,11.6,105,90.76,105.83,558.8,4.53,143.65,21.11
JCB,26-07-2016 14:00,0,23.6,40,11.5,94,90.76,105.83,558.8,4.91,143.65,22.35
JCB,26-07-2016 15:00,0,21,47,13.5,61,90.76,105.83,558.8,5.6,143.65,24.52
JCB,26-07-2016 16:00,0,22.1,45,12.3,14,90.76,105.83,558.8,5.48,143.65,24.14
JCB,26-07-2016 17:00,0,20.8,52,13.7,85,90.76,105.83,558.8,5.92,143.65,25.48
JCB,26-07-2016 18:00,0,22.4,48,12.4,93,90.76,105.83,558.8,5.66,143.65,24.71
JCB,26-07-2016 19:00,0,20,57,10.9,88,90.76,105.83,558.8,5.29,143.65,23.55
JCB,26-07-2016 20:00,0,17.3,67,13.2,95,90.76,105.83,558.8,5.73,143.65,24.89
JCB,26-07-2016 21:00,0.51,14.2,89,6.3,253,90.76,105.83,558.8,1.09,143.65,6.68
JCB,26-07-2016 22:00,0.25,14.4,78,24.8,283,90.76,105.83,558.8,2.3,143.65,12.65
JCB,26-07-2016 23:00,2.03,12.9,81,29.4,252,90.76,105.83,558.8,0.33,143.65,1.55
