Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-07-2017 0:00,0,13.8,55.3,0,0,93.05,52.62,262.28,2.8,70.08,10.1
JCB,09-07-2017 1:00,0,12.5,57.5,0,0,93.05,52.62,262.28,2.66,70.08,9.7
JCB,09-07-2017 2:00,0,11.5,58,0,0,93.05,52.62,262.28,2.26,70.08,8.44
JCB,09-07-2017 3:00,0,10.3,62.1,0,0,93.05,52.62,262.28,2.03,70.08,7.65
JCB,09-07-2017 4:00,0,9.4,63.1,0,0,93.05,52.62,262.28,1.69,70.08,6.49
JCB,09-07-2017 5:00,0,8.9,66.8,0,0,93.05,52.62,262.28,2.22,70.08,8.3
JCB,09-07-2017 6:00,0,8.9,69.9,0,0,93.05,52.62,262.28,2.4,70.08,8.88
JCB,09-07-2017 7:00,0,9.9,72.9,0,0,93.05,52.62,262.28,4.52,70.08,14.82
JCB,09-07-2017 8:00,0,14.3,64.5,0,0,93.05,52.62,262.28,4.16,70.08,13.91
JCB,09-07-2017 9:00,0,19,43.7,0,0,93.05,52.62,262.28,4.04,70.08,13.59
JCB,09-07-2017 10:00,0,24.6,16.9,0,0,93.05,52.62,262.28,3.47,70.08,12.06
JCB,09-07-2017 11:00,0,26.5,14.3,0,0,93.05,52.62,262.28,3.4,70.08,11.85
JCB,09-07-2017 12:00,0,29.2,12.1,0,0,93.05,52.62,262.28,3.91,70.08,13.25
JCB,09-07-2017 13:00,0,29.8,14.2,0,0,93.05,57.37,270.65,4.89,75,16.35
JCB,09-07-2017 14:00,0,31,15,0,0,93.05,57.37,270.65,7.23,75,21.76
JCB,09-07-2017 15:00,0,30.8,13.9,0,0,93.05,57.37,270.65,7.73,75,22.83
JCB,09-07-2017 16:00,0,29.6,13,0,0,93.05,57.37,270.65,14.64,75,35.29
JCB,09-07-2017 17:00,0,28.6,16.3,0,0,93.05,57.37,270.65,16.32,75,37.89
JCB,09-07-2017 18:00,0,27.1,17.1,0,0,93.05,57.37,270.65,15.8,75,37.11
JCB,09-07-2017 19:00,0,25.6,24.8,0,0,93.05,57.37,270.65,19.65,75,42.74
JCB,09-07-2017 20:00,0,23.1,25.6,0,0,93.05,57.37,270.65,12.64,75,32.01
JCB,09-07-2017 21:00,0,20.9,29.4,0,0,93.05,57.37,270.65,10.82,75,28.83
JCB,09-07-2017 22:00,0,19.3,31.5,0,0,93.05,57.37,270.65,7.08,75,21.45
JCB,09-07-2017 23:00,0,17.8,37.3,0,0,93.05,57.37,270.65,5.51,75,17.86
