Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,29-07-2014 0:00,0,10.3,87,3.5,175,95.1,125.82,415.87,3.53,143.27,17.58
JCB,29-07-2014 1:00,0,12.3,75,4.9,263,95.1,125.82,415.87,3.57,143.27,17.73
JCB,29-07-2014 2:00,0,11.6,76,10.8,285,95.1,125.82,415.87,4.51,143.27,21.02
JCB,29-07-2014 3:00,0,11.6,71,14.2,246,95.1,125.82,415.87,5.15,143.27,23.09
JCB,29-07-2014 4:00,0,10.3,71,9.5,297,95.1,125.82,415.87,3.93,143.27,19.02
JCB,29-07-2014 5:00,0,9.7,71,6.5,34,95.1,125.82,415.87,3.29,143.27,16.66
JCB,29-07-2014 6:00,0,10,67,15,242,95.1,125.82,415.87,4.96,143.27,22.48
JCB,29-07-2014 7:00,0,11.7,59,17,237,95.1,125.82,415.87,5.52,143.27,24.25
JCB,29-07-2014 8:00,0,15.7,50,17.9,283,95.1,125.82,415.87,5.91,143.27,25.43
JCB,29-07-2014 9:00,0,21.3,35,12.7,259,95.1,125.82,415.87,5.04,143.27,22.74
JCB,29-07-2014 10:00,0,26.9,24,5.8,259,95.1,125.82,415.87,4.24,143.27,20.11
JCB,29-07-2014 11:00,0,29,19,10.2,92,95.1,125.82,415.87,6.57,143.27,27.37
JCB,29-07-2014 12:00,0,28.4,20,9.8,114,95.1,125.82,415.87,7.55,143.27,30.09
JCB,29-07-2014 13:00,0,29.5,19,22.4,95,95.1,131.64,424.88,16.82,148.37,51.08
JCB,29-07-2014 14:00,0,29.4,20,15,106,95.1,131.64,424.88,12.91,148.37,43.22
JCB,29-07-2014 15:00,0,27.5,30,16.5,93,95.1,131.64,424.88,14.02,148.37,45.55
JCB,29-07-2014 16:00,0,23.1,39,10.4,99,95.1,131.64,424.88,10.16,148.37,37.02
JCB,29-07-2014 17:00,0,24.9,36,12.2,102,95.1,131.64,424.88,11.17,148.37,39.37
JCB,29-07-2014 18:00,0,24.7,33,10.6,111,95.1,131.64,424.88,10.38,148.37,37.53
JCB,29-07-2014 19:00,0,26.2,28,9.7,159,95.1,131.64,424.88,10.01,148.37,36.66
JCB,29-07-2014 20:00,0,19.3,57,3.3,311,95.1,131.64,424.88,6.73,148.37,28.1
JCB,29-07-2014 21:00,0,14.6,67,2.5,186,95.1,131.64,424.88,5.87,148.37,25.58
JCB,29-07-2014 22:00,0,10.5,82,0,231,95.1,131.64,424.88,4.64,148.37,21.7
JCB,29-07-2014 23:00,0,10.2,80,5.2,115,95.1,131.64,424.88,5.31,148.37,23.85
