Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,23-05-2018 0:00,0,3.5,87,3.2,94,93.62,138.75,386.34,4.31,146.22,20.46
JCB,23-05-2018 1:00,0,3.4,86,3.6,111,93.62,138.75,386.34,3.93,146.22,19.15
JCB,23-05-2018 2:00,0,6.9,69,5,208,93.62,138.75,386.34,4.01,146.22,19.42
JCB,23-05-2018 3:00,0,6.7,67,9,286,93.62,138.75,386.34,4.68,146.22,21.73
JCB,23-05-2018 4:00,0,5.7,70,12.2,243,93.62,138.75,386.34,5.22,146.22,23.45
JCB,23-05-2018 5:00,0,5.1,72,13.4,273,93.62,138.75,386.34,5.25,146.22,23.55
JCB,23-05-2018 6:00,0,6.2,66,17.3,290,93.62,138.75,386.34,6.17,146.22,26.38
JCB,23-05-2018 7:00,0,9,55,20.6,287,93.62,138.75,386.34,7.32,146.22,29.62
JCB,23-05-2018 8:00,0,13.6,42,18.5,273,93.62,138.75,386.34,6.77,146.22,28.11
JCB,23-05-2018 9:00,0,18.7,34,11.8,261,93.62,138.75,386.34,5.21,146.22,23.44
JCB,23-05-2018 10:00,0,22.9,23,6.2,180,93.62,138.75,386.34,4.5,146.22,21.13
JCB,23-05-2018 11:00,0,22,20,13.8,196,93.62,138.75,386.34,7.61,146.22,30.44
JCB,23-05-2018 12:00,0,23.4,20,10.5,125,93.62,138.75,386.34,7.3,146.22,29.57
JCB,23-05-2018 13:00,0,23.8,21,17.8,97,93.62,143.93,393.03,11.75,150.28,40.83
JCB,23-05-2018 14:00,0,23.8,20,12.2,101,93.62,143.93,393.03,9.68,150.28,35.99
JCB,23-05-2018 15:00,0,21.8,22,9.2,119,93.62,143.93,393.03,8.73,150.28,33.6
JCB,23-05-2018 16:00,0,22.4,24,9,358,93.62,143.93,393.03,8.91,150.28,34.08
JCB,23-05-2018 17:00,0,21.2,26,9.5,46,93.62,143.93,393.03,9.25,150.28,34.92
JCB,23-05-2018 18:00,0,21,26,9.3,100,93.62,143.93,393.03,9.23,150.28,34.89
JCB,23-05-2018 19:00,0,21.5,25,10,142,93.62,143.93,393.03,9.7,150.28,36.04
JCB,23-05-2018 20:00,0,18.7,32,6.2,71,93.62,143.93,393.03,8.04,150.28,31.81
JCB,23-05-2018 21:00,0,11.6,55,4,108,93.62,143.93,393.03,6.74,150.28,28.25
JCB,23-05-2018 22:00,0,8.5,68,1.6,251,93.62,143.93,393.03,5.49,150.28,24.51
JCB,23-05-2018 23:00,0,6.9,77,4.9,259,93.62,143.93,393.03,5.77,150.28,25.37
