Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,19-06-2018 0:00,0,4.8,92,1.6,232,91.9,143.35,533.85,3.08,171.54,16.7
JCB,19-06-2018 1:00,0,2.8,92,0,219,91.9,143.35,533.85,2.6,171.54,14.68
JCB,19-06-2018 2:00,0,3,95,2.6,64,91.9,143.35,533.85,2.61,171.54,14.74
JCB,19-06-2018 3:00,0,2.6,92,1.9,199,91.9,143.35,533.85,2.31,171.54,13.38
JCB,19-06-2018 4:00,0,3.2,90,2.4,61,91.9,143.35,533.85,2.2,171.54,12.88
JCB,19-06-2018 5:00,0,4.9,86,11.8,250,91.9,143.35,533.85,3.31,171.54,17.62
JCB,19-06-2018 6:00,0,7.1,78,13.9,253,91.9,143.35,533.85,3.59,171.54,18.7
JCB,19-06-2018 7:00,0,10.4,66,13.8,255,91.9,143.35,533.85,3.59,171.54,18.72
JCB,19-06-2018 8:00,0,14.3,55,14.3,256,91.9,143.35,533.85,3.81,171.54,19.53
JCB,19-06-2018 9:00,0,18.5,44,5,52,91.9,143.35,533.85,2.55,171.54,14.48
JCB,19-06-2018 10:00,0,20,37,6,8,91.9,143.35,533.85,2.96,171.54,16.21
JCB,19-06-2018 11:00,0,20.8,31,9.5,109,91.9,143.35,533.85,4,171.54,20.25
JCB,19-06-2018 12:00,0,21.6,26,9.6,132,91.9,143.35,533.85,4.62,171.54,22.46
JCB,19-06-2018 13:00,0,22.3,28,13.6,77,91.9,147.78,541.27,6.38,175.66,28.25
JCB,19-06-2018 14:00,0,23,30,11.7,92,91.9,147.78,541.27,6.37,175.66,28.2
JCB,19-06-2018 15:00,0,23.2,31,11.9,67,91.9,147.78,541.27,6.93,175.66,29.87
JCB,19-06-2018 16:00,0,23.2,31,17.5,84,91.9,147.78,541.27,9.82,175.66,37.65
JCB,19-06-2018 17:00,0,23,28,20.4,80,91.9,147.78,541.27,12.21,175.66,43.33
JCB,19-06-2018 18:00,0,22.7,29,16.1,104,91.9,147.78,541.27,10.32,175.66,38.89
JCB,19-06-2018 19:00,0,21.5,31,18,87,91.9,147.78,541.27,11.63,175.66,42.01
JCB,19-06-2018 20:00,0,19.5,38,9.2,118,91.9,147.78,541.27,7.52,175.66,31.55
JCB,19-06-2018 21:00,0,15,54,2.2,15,91.9,147.78,541.27,5.09,175.66,24.16
JCB,19-06-2018 22:00,0,10.2,68,3.5,107,91.9,147.78,541.27,5.03,175.66,23.97
JCB,19-06-2018 23:00,0,7.5,86,0,296,91.9,147.78,541.27,3.81,175.66,19.65
