Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,09-08-2018 0:00,0,6.3,92,4,259,96.3,150.43,859,3.89,209.25,20.5
JCB,09-08-2018 1:00,0,5.6,91,1.9,191,96.3,150.43,859,3.1,209.25,17.36
JCB,09-08-2018 2:00,0,4.5,89,0,307,96.3,150.43,859,2.6,209.25,15.23
JCB,09-08-2018 3:00,0,4.4,90,3.1,311,96.3,150.43,859,2.76,209.25,15.9
JCB,09-08-2018 4:00,0,4.4,83,1.9,283,96.3,150.43,859,2.45,209.25,14.55
JCB,09-08-2018 5:00,0,4.8,81,6.4,276,96.3,150.43,859,2.92,209.25,16.62
JCB,09-08-2018 6:00,0,5.1,80,7,271,96.3,150.43,859,2.88,209.25,16.45
JCB,09-08-2018 7:00,0,10.7,68,9.6,230,96.3,150.43,859,3.29,209.25,18.14
JCB,09-08-2018 8:00,0,15.9,50,12.3,245,96.3,150.43,859,3.91,209.25,20.6
JCB,09-08-2018 9:00,0,20.1,42,9.3,266,96.3,150.43,859,3.64,209.25,19.53
JCB,09-08-2018 10:00,0,24.3,39,3,235,96.3,150.43,859,2.9,209.25,16.52
JCB,09-08-2018 11:00,0,27.7,26,3.2,57,96.3,150.43,859,3.47,209.25,18.87
JCB,09-08-2018 12:00,0,29.5,16,7.1,272,96.3,150.43,859,5.39,209.25,25.84
JCB,09-08-2018 13:00,0,30.2,14,10,263,96.3,155.99,867.44,7.87,215.22,33.48
JCB,09-08-2018 14:00,0,30.2,18,17.3,298,96.3,155.99,867.44,13.41,215.22,47.29
JCB,09-08-2018 15:00,0,30.3,18,20.8,285,96.3,155.99,867.44,18.25,215.22,57.29
JCB,09-08-2018 16:00,0,30.1,17,18.5,279,96.3,155.99,867.44,18.01,215.22,56.84
JCB,09-08-2018 17:00,0,29.4,17,18.9,290,96.3,155.99,867.44,19.77,215.22,60.18
JCB,09-08-2018 18:00,0,28.7,22,12.9,292,96.3,155.99,867.44,14.81,215.22,50.32
JCB,09-08-2018 19:00,0,26.5,29,8.7,290,96.3,155.99,867.44,12,215.22,44.06
JCB,09-08-2018 20:00,0,20.6,47,3.2,142,96.3,155.99,867.44,8.52,215.22,35.3
JCB,09-08-2018 21:00,0,14.5,63,5,302,96.3,155.99,867.44,8.29,215.22,34.68
JCB,09-08-2018 22:00,0,11.6,73,2.7,272,96.3,155.99,867.44,6.51,215.22,29.49
JCB,09-08-2018 23:00,0,10.1,73,2,284,96.3,155.99,867.44,5.64,215.22,26.75
