Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,28-06-2015 0:00,0,11.9,78,7.3,112,92.94,95.61,375.34,5.81,116.82,23.28
JCB,28-06-2015 1:00,0,10.9,76,5.8,83,92.94,95.61,375.34,4.88,116.82,20.56
JCB,28-06-2015 2:00,0,12.3,56,5.8,160,92.94,95.61,375.34,4.76,116.82,20.19
JCB,28-06-2015 3:00,0,11.9,59,17.5,258,92.94,95.61,375.34,8.26,116.82,29.66
JCB,28-06-2015 4:00,0,11.1,61,4.4,294,92.94,95.61,375.34,4.14,116.82,18.21
JCB,28-06-2015 5:00,0,9.1,71,2.7,308,92.94,95.61,375.34,3.6,116.82,16.42
JCB,28-06-2015 6:00,0,12.1,62,3.3,119,92.94,95.61,375.34,3.62,116.82,16.5
JCB,28-06-2015 7:00,0,16.1,49,3.3,264,92.94,95.61,375.34,3.65,116.82,16.59
JCB,28-06-2015 8:00,0,21.8,41,8.1,359,92.94,95.61,375.34,4.83,116.82,20.39
JCB,28-06-2015 9:00,0,23.6,33,9.8,16,92.94,95.61,375.34,5.7,116.82,22.95
JCB,28-06-2015 10:00,0,24.9,31,9.9,88,92.94,95.61,375.34,6.24,116.82,24.46
JCB,28-06-2015 11:00,0,25.7,40,9.8,93,92.94,95.61,375.34,6.4,116.82,24.89
JCB,28-06-2015 12:00,0,26.4,29,13.8,90,92.94,95.61,375.34,8.58,116.82,30.44
JCB,28-06-2015 13:00,0,27.1,27,12,91,92.94,101.03,383.62,8.56,121.84,30.92
JCB,28-06-2015 14:00,0,27,31,15.2,82,92.94,101.03,383.62,10.57,121.84,35.57
JCB,28-06-2015 15:00,0,27.4,30,19.2,86,92.94,101.03,383.62,13.58,121.84,41.88
JCB,28-06-2015 16:00,0,28,32,19.7,73,92.94,101.03,383.62,14.35,121.84,43.38
JCB,28-06-2015 17:00,0,27.4,35,20.1,78,92.94,101.03,383.62,14.75,121.84,44.14
JCB,28-06-2015 18:00,0,26.8,34,18.9,82,92.94,101.03,383.62,13.98,121.84,42.66
JCB,28-06-2015 19:00,0,25.3,39,19,76,92.94,101.03,383.62,14.15,121.84,42.99
JCB,28-06-2015 20:00,0,23,47,15.6,76,92.94,101.03,383.62,11.54,121.84,37.69
JCB,28-06-2015 21:00,0,20.8,54,4.9,98,92.94,101.03,383.62,6.41,121.84,25.38
JCB,28-06-2015 22:00,0,15.2,74,4.3,281,92.94,101.03,383.62,5.54,121.84,22.9
JCB,28-06-2015 23:00,0,12.9,87,0,271,92.94,101.03,383.62,3.94,121.84,17.9
