Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,07-06-2016 0:00,0,14.1,35,15.5,261,93.74,51.08,243.21,13.92,66.98,32.3
JCB,07-06-2016 1:00,0,13.4,37,11,267,93.74,51.08,243.21,10.77,66.98,27.15
JCB,07-06-2016 2:00,0,9.5,52,3,80,93.74,51.08,243.21,6.8,66.98,19.61
JCB,07-06-2016 3:00,0,9.2,50,8.3,291,93.74,51.08,243.21,8.38,66.98,22.78
JCB,07-06-2016 4:00,0,10.6,45,13.7,265,93.74,51.08,243.21,10.52,66.98,26.72
JCB,07-06-2016 5:00,0,10.9,45,13.2,270,93.74,51.08,243.21,9.87,66.98,25.56
JCB,07-06-2016 6:00,0,10.8,47,12.4,268,93.74,51.08,243.21,9.11,66.98,24.17
JCB,07-06-2016 7:00,0,11.5,48,14,265,93.74,51.08,243.21,9.49,66.98,24.87
JCB,07-06-2016 8:00,0,13.6,49,9.4,241,93.74,51.08,243.21,7.28,66.98,20.62
JCB,07-06-2016 9:00,0,19.1,37,8.8,256,93.74,51.08,243.21,7.12,66.98,20.28
JCB,07-06-2016 10:00,0,21.8,27,3.4,38,93.74,51.08,243.21,5.63,66.98,17.08
JCB,07-06-2016 11:00,0,24.1,22,7.2,90,93.74,51.08,243.21,7.34,66.98,20.74
JCB,07-06-2016 12:00,0,25,20,10.2,72,93.74,51.08,243.21,9.28,66.98,24.48
JCB,07-06-2016 13:00,0,24.9,27,11.4,97,93.74,56.07,251.1,10.12,71.97,26.97
JCB,07-06-2016 14:00,0,26.8,23,9,339,93.74,56.07,251.1,9.46,71.97,25.74
JCB,07-06-2016 15:00,0,26.5,30,17.7,94,93.74,56.07,251.1,14.77,71.97,34.79
JCB,07-06-2016 16:00,0,24.4,36,19.4,84,93.74,56.07,251.1,16.1,71.97,36.82
JCB,07-06-2016 17:00,0,24.2,34,13.3,74,93.74,56.07,251.1,11.92,71.97,30.16
JCB,07-06-2016 18:00,0,25.4,31,13.2,88,93.74,56.07,251.1,11.95,71.97,30.2
JCB,07-06-2016 19:00,0,24.6,34,16.1,73,93.74,56.07,251.1,13.92,71.97,33.46
JCB,07-06-2016 20:00,0,21,48,15,41,93.74,56.07,251.1,12.41,71.97,30.98
JCB,07-06-2016 21:00,0,18.1,57,11.2,27,93.74,56.07,251.1,9.4,71.97,25.64
JCB,07-06-2016 22:00,0,14.4,70,3.4,214,93.74,56.07,251.1,5.72,71.97,17.97
JCB,07-06-2016 23:00,0,11.6,81,4.1,272,93.74,56.07,251.1,5.17,71.97,16.66
