Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,17-07-2018 0:00,0,9.6,64,3.5,114,94.14,232.18,730.39,6.4,258.74,29.52
JCB,17-07-2018 1:00,0,9.7,57,10.2,289,94.14,232.18,730.39,8.33,258.74,35.23
JCB,17-07-2018 2:00,0,11.1,55,16.2,276,94.14,232.18,730.39,10.55,258.74,41.08
JCB,17-07-2018 3:00,0,11.1,55,13.5,278,94.14,232.18,730.39,8.71,258.74,36.25
JCB,17-07-2018 4:00,0,10.2,56,12.5,244,94.14,232.18,730.39,7.85,258.74,33.87
JCB,17-07-2018 5:00,0,9.9,61,16,250,94.14,232.18,730.39,8.77,258.74,36.43
JCB,17-07-2018 6:00,0,10.4,58,13.9,273,94.14,232.18,730.39,7.53,258.74,32.93
JCB,17-07-2018 7:00,0,13.6,48,12.9,255,94.14,232.18,730.39,7.11,258.74,31.69
JCB,17-07-2018 8:00,0,17.4,42,8.7,273,94.14,232.18,730.39,5.79,258.74,27.59
JCB,17-07-2018 9:00,0,21.8,33,4.4,288,94.14,232.18,730.39,4.86,258.74,24.44
JCB,17-07-2018 10:00,0,24.8,31,6.5,127,94.14,232.18,730.39,5.75,258.74,27.44
JCB,17-07-2018 11:00,0,25.8,33,9.5,106,94.14,232.18,730.39,7.03,258.74,31.46
JCB,17-07-2018 12:00,0,26.7,28,9.3,27,94.14,232.18,730.39,7.49,258.74,32.83
JCB,17-07-2018 13:00,0,27,25,10.5,115,94.14,237.13,738.96,8.63,263.15,36.08
JCB,17-07-2018 14:00,0,27,29,16.7,99,94.14,237.13,738.96,12.34,263.15,45.44
JCB,17-07-2018 15:00,0,26.6,30,10.7,91,94.14,237.13,738.96,9.36,263.15,38.03
JCB,17-07-2018 16:00,0,24.9,34,12.4,101,94.14,237.13,738.96,10.27,263.15,40.39
JCB,17-07-2018 17:00,0,24.2,39,13.8,85,94.14,237.13,738.96,11.05,263.15,42.34
JCB,17-07-2018 18:00,0,24,37,10,83,94.14,237.13,738.96,9.19,263.15,37.58
JCB,17-07-2018 19:00,0,23.5,42,5.2,75,94.14,237.13,738.96,7.15,263.15,31.83
JCB,17-07-2018 20:00,0,22.4,46,9.8,94,94.14,237.13,738.96,8.77,263.15,36.44
JCB,17-07-2018 21:00,0,16.3,70,5.3,283,94.14,237.13,738.96,6.24,263.15,29.05
JCB,17-07-2018 22:00,0,13.1,78,0,315,94.14,237.13,738.96,4.36,263.15,22.66
JCB,17-07-2018 23:00,0,11.2,85,0,311,94.14,237.13,738.96,3.92,263.15,20.98
