Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,11-09-2017 0:00,0,15,34.1,0,0,95.35,56.26,257.81,6.83,72.81,20.56
JCB,11-09-2017 1:00,0,14.5,35.5,0,0,95.35,56.26,257.81,27.48,72.81,52.09
JCB,11-09-2017 2:00,0,13.2,40.2,0,0,95.35,56.26,257.81,19.84,72.81,42.4
JCB,11-09-2017 3:00,0,12.5,40.1,0,0,95.35,56.26,257.81,28.58,72.81,53.38
JCB,11-09-2017 4:00,0,12.3,40.6,0,0,95.35,56.26,257.81,27.23,72.81,51.8
JCB,11-09-2017 5:00,0,14.6,32.5,0,0,95.35,56.26,257.81,12.12,72.81,30.68
JCB,11-09-2017 6:00,0,14.3,33.1,0,0,95.35,56.26,257.81,15.18,72.81,35.62
JCB,11-09-2017 7:00,0,14.8,31.6,0,0,95.35,56.26,257.81,18.98,72.81,41.2
JCB,11-09-2017 8:00,0,16.5,26.4,0,0,95.35,56.26,257.81,13.58,72.81,33.1
JCB,11-09-2017 9:00,0,17.3,25.1,0,0,95.35,56.26,257.81,14.97,72.81,35.31
JCB,11-09-2017 10:00,0,18.7,21.3,0,0,95.35,56.26,257.81,10.06,72.81,27.01
JCB,11-09-2017 11:00,0,21,18,0,0,95.35,56.26,257.81,9.06,72.81,25.14
JCB,11-09-2017 12:00,0,22.2,17.8,0,0,95.35,56.26,257.81,30.19,72.81,55.22
JCB,11-09-2017 13:00,0,23.9,14.6,0,0,95.35,60.15,263.89,44.27,76.63,71.29
JCB,11-09-2017 14:00,0,24.4,16,0,0,95.35,60.15,263.89,40.1,76.63,67.18
JCB,11-09-2017 15:00,0,24.4,13.3,0,0,95.35,60.15,263.89,54.58,76.63,80.71
JCB,11-09-2017 16:00,0,24.1,12.8,0,0,95.35,60.15,263.89,55.68,76.63,81.66
JCB,11-09-2017 17:00,0,23.3,13.9,0,0,95.35,60.15,263.89,37.53,76.63,64.55
JCB,11-09-2017 18:00,0,22.3,15.7,0,0,95.35,60.15,263.89,27.89,76.63,53.81
JCB,11-09-2017 19:00,0,21.5,15.9,0,0,95.35,60.15,263.89,32.49,76.63,59.13
JCB,11-09-2017 20:00,0,20.8,18.5,0,0,95.35,60.15,263.89,20.74,76.63,44.69
JCB,11-09-2017 21:00,0,21.4,16,0,0,95.35,60.15,263.89,15.53,76.63,37.07
JCB,11-09-2017 22:00,0,20.8,16.7,0,0,95.35,60.15,263.89,9.88,76.63,27.4
JCB,11-09-2017 23:00,0,20.2,19.9,0,0,95.35,60.15,263.89,9.46,76.63,26.57

