Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,08-07-2015 0:00,0,11.2,72,5.7,276,93.11,125.94,448.67,2.02,148.01,11.55
JCB,08-07-2015 1:00,0,10.3,73,10.6,324,93.11,125.94,448.67,2.6,148.01,14.1
JCB,08-07-2015 2:00,0,9.1,78,13.2,309,93.11,125.94,448.67,2.97,148.01,15.58
JCB,08-07-2015 3:00,0,7.9,80,10.1,291,93.11,125.94,448.67,2.51,148.01,13.72
JCB,08-07-2015 4:00,0,7.2,80,8.1,293,93.11,125.94,448.67,2.25,148.01,12.59
JCB,08-07-2015 5:00,0,6.9,79,6.4,357,93.11,125.94,448.67,2.06,148.01,11.71
JCB,08-07-2015 6:00,0,8.2,75,6.6,309,93.11,125.94,448.67,2.09,148.01,11.86
JCB,08-07-2015 7:00,0,10.2,70,14.5,285,93.11,125.94,448.67,3.13,148.01,16.24
JCB,08-07-2015 8:00,0,14.1,57,23.9,281,93.11,125.94,448.67,5.28,148.01,23.73
JCB,08-07-2015 9:00,0,18.7,47,14,274,93.11,125.94,448.67,3.5,148.01,17.66
JCB,08-07-2015 10:00,0,23.1,28,13.2,294,93.11,125.94,448.67,4.11,148.01,19.84
JCB,08-07-2015 11:00,0,24.9,28,12.4,270,93.11,125.94,448.67,4.76,148.01,22.07
JCB,08-07-2015 12:00,0,24.4,24,11.4,310,93.11,125.94,448.67,5.4,148.01,24.12
JCB,08-07-2015 13:00,0,25.3,22,8.8,288,93.11,130.78,456.93,5.56,152.46,24.85
JCB,08-07-2015 14:00,0,25.8,25,5.4,298,93.11,130.78,456.93,5.24,152.46,23.83
JCB,08-07-2015 15:00,0,27.4,22,14.2,208,93.11,130.78,456.93,9.41,152.46,35.47
JCB,08-07-2015 16:00,0,27.5,24,15.6,300,93.11,130.78,456.93,11.18,152.46,39.68
JCB,08-07-2015 17:00,0,27.1,23,9.5,298,93.11,130.78,456.93,8.88,152.46,34.14
JCB,08-07-2015 18:00,0,26.3,23,14.5,267,93.11,130.78,456.93,12.15,152.46,41.88
JCB,08-07-2015 19:00,0,25.9,22,12.9,260,93.11,130.78,456.93,11.81,152.46,41.12
JCB,08-07-2015 20:00,0,22.9,31,10.8,270,93.11,130.78,456.93,10.7,152.46,38.57
JCB,08-07-2015 21:00,0,17.4,40,9.7,288,93.11,130.78,456.93,9.82,152.46,36.47
JCB,08-07-2015 22:00,0,14.4,52,13,274,93.11,130.78,456.93,10.77,152.46,38.73
JCB,08-07-2015 23:00,0,15.7,44,17.3,252,93.11,130.78,456.93,12.85,152.46,43.4
