Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,26-05-2018 0:00,0,14,41,5.5,33,92.48,153.96,406.28,7.49,158.12,30.74
JCB,26-05-2018 1:00,0,11.4,49,3.6,268,92.48,153.96,406.28,6.51,158.12,27.95
JCB,26-05-2018 2:00,0,11.2,51,9.9,301,92.48,153.96,406.28,8.45,158.12,33.34
JCB,26-05-2018 3:00,0,10,56,10,280,92.48,153.96,406.28,7.96,158.12,32.02
JCB,26-05-2018 4:00,0,10.1,55,7.4,50,92.48,153.96,406.28,6.62,158.12,28.29
JCB,26-05-2018 5:00,0,10.2,70,8.5,120,92.48,153.96,406.28,6.36,158.12,27.52
JCB,26-05-2018 6:00,0,9.5,74,6.6,103,92.48,153.96,406.28,5.26,158.12,24.12
JCB,26-05-2018 7:00,0,10.2,63,9,49,92.48,153.96,406.28,5.63,158.12,25.29
JCB,26-05-2018 8:00,0,10.5,51,9.3,46,92.48,153.96,406.28,5.63,158.12,25.29
JCB,26-05-2018 9:00,0,11.4,46,8.7,137,92.48,153.96,406.28,5.46,158.12,24.77
JCB,26-05-2018 10:00,0,14.3,41,7.3,209,92.48,153.96,406.28,5.13,158.12,23.7
JCB,26-05-2018 11:00,0,16.8,38,8.6,138,92.48,153.96,406.28,5.54,158.12,25.02
JCB,26-05-2018 12:00,0,18.2,36,13.8,63,92.48,153.96,406.28,7.38,158.12,30.44
JCB,26-05-2018 13:00,0,19.9,33,16,90,92.48,157.66,412.27,8.6,161.2,33.88
JCB,26-05-2018 14:00,0,17.9,36,18.1,88,92.48,157.66,412.27,9.69,161.2,36.66
JCB,26-05-2018 15:00,0,20.3,30,10.7,57,92.48,157.66,412.27,6.99,161.2,29.5
JCB,26-05-2018 16:00,0,21,18,15.6,136,92.48,157.66,412.27,10.03,161.2,37.5
JCB,26-05-2018 17:00,0,21.7,15,19.8,280,92.48,157.66,412.27,14.04,161.2,46.54
JCB,26-05-2018 18:00,0,20.6,16,22.7,288,92.48,157.66,412.27,17.76,161.2,53.92
JCB,26-05-2018 19:00,0,18.2,18,18.2,295,92.48,157.66,412.27,14.79,161.2,48.11
JCB,26-05-2018 20:00,0,15.7,22,15.2,276,92.48,157.66,412.27,12.81,161.2,43.91
JCB,26-05-2018 21:00,0,13,29,13.9,285,92.48,157.66,412.27,11.97,161.2,42.04
JCB,26-05-2018 22:00,0,11,36,14.6,277,92.48,157.66,412.27,12.09,161.2,42.32
JCB,26-05-2018 23:00,0,10.4,37,12.8,268,92.48,157.66,412.27,10.77,161.2,39.27
