Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,06-06-2016 0:00,0,6.6,84,2.5,279,93.69,45.41,234.91,3.88,61.23,12.19
JCB,06-06-2016 1:00,0,5.1,88,3.5,308,93.69,45.41,234.91,3.63,61.23,11.54
JCB,06-06-2016 2:00,0,4,93,3.4,108,93.69,45.41,234.91,3.16,61.23,10.3
JCB,06-06-2016 3:00,0,5.4,88,8.2,264,93.69,45.41,234.91,3.62,61.23,11.51
JCB,06-06-2016 4:00,0,7.5,80,6.7,333,93.69,45.41,234.91,3.17,61.23,10.33
JCB,06-06-2016 5:00,0,7.2,80,10.5,286,93.69,45.41,234.91,3.64,61.23,11.56
JCB,06-06-2016 6:00,0,9.2,72,16.6,298,93.69,45.41,234.91,4.83,61.23,14.47
JCB,06-06-2016 7:00,0,10.7,65,17.3,304,93.69,45.41,234.91,5.03,61.23,14.92
JCB,06-06-2016 8:00,0,16.1,46,21.9,283,93.69,45.41,234.91,6.69,61.23,18.48
JCB,06-06-2016 9:00,0,20.3,40,12.1,269,93.69,45.41,234.91,4.44,61.23,13.55
JCB,06-06-2016 10:00,0,25.9,25,3.2,50,93.69,45.41,234.91,3.34,61.23,10.78
JCB,06-06-2016 11:00,0,26.2,22,7.1,87,93.69,45.41,234.91,4.84,61.23,14.49
JCB,06-06-2016 12:00,0,27.2,26,14.5,296,93.69,45.41,234.91,8.13,61.23,21.3
JCB,06-06-2016 13:00,0,27.2,24,10.6,265,93.69,51.08,243.21,7.56,66.98,21.19
JCB,06-06-2016 14:00,0,28,23,13.3,230,93.69,51.08,243.21,9.74,66.98,25.33
JCB,06-06-2016 15:00,0,27.1,19,14.8,196,93.69,51.08,243.21,11.79,66.98,28.89
JCB,06-06-2016 16:00,0,27.3,18,12.1,233,93.69,51.08,243.21,11.34,66.98,28.12
JCB,06-06-2016 17:00,0,25.7,20,17.5,298,93.69,51.08,243.21,15.75,66.98,35.06
JCB,06-06-2016 18:00,0,26.1,22,6.6,289,93.69,51.08,243.21,9.36,66.98,24.64
JCB,06-06-2016 19:00,0,26.8,19,9.2,245,93.69,51.08,243.21,11.19,66.98,27.88
JCB,06-06-2016 20:00,0,23.4,25,10.1,243,93.69,51.08,243.21,11.8,66.98,28.89
JCB,06-06-2016 21:00,0,19.8,29,8.9,285,93.69,51.08,243.21,11.05,66.98,27.63
JCB,06-06-2016 22:00,0,13.9,42,13.4,268,93.69,51.08,243.21,13.08,66.98,30.99
JCB,06-06-2016 23:00,0,15.7,31,17.2,272,93.69,51.08,243.21,15.6,66.98,34.84


