Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,10-07-2015 0:00,0,12.8,49,5.9,247,91.69,135.95,465.53,7.17,157.16,29.8
JCB,10-07-2015 1:00,0,14.3,43,8.2,277,91.69,135.95,465.53,7.84,157.16,31.66
JCB,10-07-2015 2:00,0,11.2,56,3,200,91.69,135.95,465.53,5.72,157.16,25.52
JCB,10-07-2015 3:00,0,10.9,54,8.8,251,91.69,135.95,465.53,7.26,157.16,30.06
JCB,10-07-2015 4:00,0,10.3,56,8.5,242,91.69,135.95,465.53,6.77,157.16,28.69
JCB,10-07-2015 5:00,0,7.9,68,3.4,279,91.69,135.95,465.53,4.88,157.16,22.83
JCB,10-07-2015 6:00,0,10.1,62,5.2,289,91.69,135.95,465.53,5.06,157.16,23.44
JCB,10-07-2015 7:00,0,14.2,54,7.2,265,91.69,135.95,465.53,5.46,157.16,24.72
JCB,10-07-2015 8:00,0,18.4,48,7.8,252,91.69,135.95,465.53,5.65,157.16,25.31
JCB,10-07-2015 9:00,0,21.6,39,13.6,7,91.69,135.95,465.53,7.69,157.16,31.25
JCB,10-07-2015 10:00,0,23.1,40,12.6,0,91.69,135.95,465.53,7.43,157.16,30.53
JCB,10-07-2015 11:00,0,23.9,40,10.5,348,91.69,135.95,465.53,6.79,157.16,28.72
JCB,10-07-2015 12:00,0,24.4,45,12.9,91,91.69,135.95,465.53,7.71,157.16,31.32
JCB,10-07-2015 13:00,0,23.2,41,12,99,91.69,139.32,473.41,7.42,160.53,30.68
JCB,10-07-2015 14:00,0,23.9,44,11.1,93,91.69,139.32,473.41,7.15,160.53,29.9
JCB,10-07-2015 15:00,0,23.1,47,14.3,92,91.69,139.32,473.41,8.46,160.53,33.47
JCB,10-07-2015 16:00,0,23,46,10,96,91.69,139.32,473.41,6.86,160.53,29.08
JCB,10-07-2015 17:00,0,22.8,49,12.9,83,91.69,139.32,473.41,7.95,160.53,32.13
JCB,10-07-2015 18:00,0,21.4,52,5.5,56,91.69,139.32,473.41,5.41,160.53,24.71
JCB,10-07-2015 19:00,0,20.4,61,2.6,293,91.69,139.32,473.41,4.5,160.53,21.7
JCB,10-07-2015 20:00,0,20.6,41,19.1,263,91.69,139.32,473.41,10.41,160.53,38.39
JCB,10-07-2015 21:00,0,19,46,13.2,259,91.69,139.32,473.41,7.78,160.53,31.66
JCB,10-07-2015 22:00,0,16.7,55,10.9,291,91.69,139.32,473.41,6.73,160.53,28.7
JCB,10-07-2015 23:00,0,15.2,60,8.2,288,91.69,139.32,473.41,5.63,160.53,25.38
