Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,06-08-2018 0:00,0,7.3,95,2,285,91.98,137.78,836.16,2.03,195.16,12.4
JCB,06-08-2018 1:00,0,7,95,4.4,206,91.98,137.78,836.16,2.07,195.16,12.59
JCB,06-08-2018 2:00,0,8.7,84,9.4,345,91.98,137.78,836.16,2.57,195.16,14.94
JCB,06-08-2018 3:00,0,8.2,84,19.2,276,91.98,137.78,836.16,4.08,195.16,21.01
JCB,06-08-2018 4:00,0,8.2,80,27.6,280,91.98,137.78,836.16,6.14,195.16,27.99
JCB,06-08-2018 5:00,0,7,82,17.7,285,91.98,137.78,836.16,3.65,195.16,19.42
JCB,06-08-2018 6:00,0,6.9,80,3.4,331,91.98,137.78,836.16,1.77,195.16,11.1
JCB,06-08-2018 7:00,0,11,65,4.3,162,91.98,137.78,836.16,1.87,195.16,11.65
JCB,06-08-2018 8:00,0,13.8,57,20.3,268,91.98,137.78,836.16,4.39,195.16,22.16
JCB,06-08-2018 9:00,0,18.1,48,15.3,272,91.98,137.78,836.16,3.71,195.16,19.65
JCB,06-08-2018 10:00,0,22.2,29,13.4,265,91.98,137.78,836.16,4.06,195.16,20.97
JCB,06-08-2018 11:00,0,22.9,27,12.5,287,91.98,137.78,836.16,4.64,195.16,23.05
JCB,06-08-2018 12:00,0,23.6,30,15.9,292,91.98,137.78,836.16,6.38,195.16,28.75
JCB,06-08-2018 13:00,0,24.2,27,15.5,309,91.98,141.59,843.52,7.23,199.47,31.38
JCB,06-08-2018 14:00,0,24.9,29,13.3,290,91.98,141.59,843.52,7.22,199.47,31.36
JCB,06-08-2018 15:00,0,25.4,24,15.8,255,91.98,141.59,843.52,9.32,199.47,37.11
JCB,06-08-2018 16:00,0,23.9,22,22.5,268,91.98,141.59,843.52,14.6,199.47,49.49
JCB,06-08-2018 17:00,0,23.5,25,19.2,295,91.98,141.59,843.52,13.19,199.47,46.42
JCB,06-08-2018 18:00,0,23.4,24,17.5,282,91.98,141.59,843.52,12.82,199.47,45.59
JCB,06-08-2018 19:00,0,22.3,28,15.9,248,91.98,141.59,843.52,12.03,199.47,43.78
JCB,06-08-2018 20:00,0,19.8,31,10.2,263,91.98,141.59,843.52,9.09,199.47,36.53
JCB,06-08-2018 21:00,0,19.4,34,17.2,243,91.98,141.59,843.52,13.03,199.47,46.05
JCB,06-08-2018 22:00,0,18.9,33,21.5,251,91.98,141.59,843.52,16.29,199.47,52.99
JCB,06-08-2018 23:00,0,16.8,42,16.9,289,91.98,141.59,843.52,12.55,199.47,44.98
