Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,15-05-2018 0:00,0,10,42,16.6,263,95.45,110.66,342.04,14.44,122.35,43.62
JCB,15-05-2018 1:00,0,9.4,44,20.2,268,95.45,110.66,342.04,16.31,122.35,47.12
JCB,15-05-2018 2:00,0,9.1,46,18,265,95.45,110.66,342.04,13.77,122.35,42.32
JCB,15-05-2018 3:00,0,8.1,49,18.5,272,95.45,110.66,342.04,13.28,122.35,41.33
JCB,15-05-2018 4:00,0,7.7,52,22,274,95.45,110.66,342.04,14.8,122.35,44.31
JCB,15-05-2018 5:00,0,6.9,55,21.2,271,95.45,110.66,342.04,13.27,122.35,41.31
JCB,15-05-2018 6:00,0,8.2,52,12.3,269,95.45,110.66,342.04,8.1,122.35,29.83
JCB,15-05-2018 7:00,0,10.9,45,17.4,275,95.45,110.66,342.04,10.25,122.35,34.91
JCB,15-05-2018 8:00,0,16.7,33,17.3,270,95.45,110.66,342.04,10.27,122.35,34.96
JCB,15-05-2018 9:00,0,21.6,22,17.4,243,95.45,110.66,342.04,11.25,122.35,37.12
JCB,15-05-2018 10:00,0,22.5,19,19.5,292,95.45,110.66,342.04,13.79,122.35,42.35
JCB,15-05-2018 11:00,0,22.7,19,15.9,299,95.45,110.66,342.04,12.43,122.35,39.61
JCB,15-05-2018 12:00,0,23.8,18,14.1,264,95.45,110.66,342.04,12.24,122.35,39.22
JCB,15-05-2018 13:00,0,24.5,15,11.6,286,95.45,116.39,348.85,11.73,126.92,38.67
JCB,15-05-2018 14:00,0,24.3,16,19.1,286,95.45,116.39,348.85,18.26,126.92,51.26
JCB,15-05-2018 15:00,0,24.2,14,22.6,293,95.45,116.39,348.85,23.31,126.92,59.6
JCB,15-05-2018 16:00,0,24.6,12,18.1,278,95.45,116.39,348.85,19.91,126.92,54.08
JCB,15-05-2018 17:00,0,24.1,12,18.1,285,95.45,116.39,348.85,20.97,126.92,55.85
JCB,15-05-2018 18:00,0,24.1,13,16.1,257,95.45,116.39,348.85,19.6,126.92,53.56
JCB,15-05-2018 19:00,0,22.2,17,16.1,309,95.45,116.39,348.85,19.74,126.92,53.8
JCB,15-05-2018 20:00,0,18.2,24,13.9,272,95.45,116.39,348.85,17.41,126.92,49.75
JCB,15-05-2018 21:00,0,15,28,14.8,278,95.45,116.39,348.85,17.66,126.92,50.19
JCB,15-05-2018 22:00,0,13.2,32,11.3,258,95.45,116.39,348.85,14.23,126.92,43.78
JCB,15-05-2018 23:00,0,8.4,46,3.6,72,95.45,116.39,348.85,9.06,126.92,32.63

