Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,31-07-2014 0:00,0,10,66,3.5,99,91.5,136.74,433.39,5.87,152.88,25.82
JCB,31-07-2014 1:00,0,13.7,45,22.5,275,91.5,136.74,433.39,14.8,152.88,47.51
JCB,31-07-2014 2:00,0,12.7,46,19.8,277,91.5,136.74,433.39,12.5,152.88,42.67
JCB,31-07-2014 3:00,0,12.4,47,12.9,252,91.5,136.74,433.39,8.58,152.88,33.37
JCB,31-07-2014 4:00,0,9.4,57,5.2,55,91.5,136.74,433.39,5.54,152.88,24.8
JCB,31-07-2014 5:00,0,10,55,9.7,279,91.5,136.74,433.39,6.66,152.88,28.14
JCB,31-07-2014 6:00,0,8.5,61,7.8,268,91.5,136.74,433.39,5.73,152.88,25.38
JCB,31-07-2014 7:00,0,12.2,53,6.1,268,91.5,136.74,433.39,5.14,152.88,23.52
JCB,31-07-2014 8:00,0,16.9,47,4.4,275,91.5,136.74,433.39,4.73,152.88,22.19
JCB,31-07-2014 9:00,0,22.1,50,7.2,265,91.5,136.74,433.39,5.49,152.88,24.63
JCB,31-07-2014 10:00,0,24,49,6.3,111,91.5,136.74,433.39,5.28,152.88,23.98
JCB,31-07-2014 11:00,0,24.5,44,9.3,137,91.5,136.74,433.39,6.19,152.88,26.77
JCB,31-07-2014 12:00,0,25.3,47,14.1,104,91.5,136.74,433.39,7.94,152.88,31.7
JCB,31-07-2014 13:00,0,25,44,17.3,104,91.5,140.17,441.6,9.4,156.31,35.65
JCB,31-07-2014 14:00,0,24.7,50,18.8,92,91.5,140.17,441.6,10.2,156.31,37.64
JCB,31-07-2014 15:00,0,24.5,52,17.8,95,91.5,140.17,441.6,9.74,156.31,36.5
JCB,31-07-2014 16:00,0,24.2,50,12.9,120,91.5,140.17,441.6,7.66,156.31,31.13
JCB,31-07-2014 17:00,0,24.1,51,12,110,91.5,140.17,441.6,7.35,156.31,30.28
JCB,31-07-2014 18:00,0,22.1,58,12.9,85,91.5,140.17,441.6,7.46,156.31,30.57
JCB,31-07-2014 19:00,0,21.4,64,14.9,93,91.5,140.17,441.6,7.8,156.31,31.51
JCB,31-07-2014 20:00,0,19.4,72,6.7,85,91.5,140.17,441.6,4.79,156.31,22.5
JCB,31-07-2014 21:00,0,16.9,79,2.5,32,91.5,140.17,441.6,3.55,156.31,18.14
JCB,31-07-2014 22:00,0,15.8,85,2,115,91.5,140.17,441.6,3.12,156.31,16.47
JCB,31-07-2014 23:00,0,16.2,86,2.5,153,91.5,140.17,441.6,2.9,156.31,15.57
